"Engine Capacity cc","Car Make","Emission Band","Licensing Authority","Year","Statistic Label","UNIT","VALUE"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2014","New Private Cars","Number","2529"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2014","Second Hand Private Cars","Number","674"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2015","New Private Cars","Number","3715"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2015","Second Hand Private Cars","Number","791"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2014","New Private Cars","Number","1346"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2014","Second Hand Private Cars","Number","354"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2015","New Private Cars","Number","2058"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2015","Second Hand Private Cars","Number","391"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2014","New Private Cars","Number","22164"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2014","Second Hand Private Cars","Number","3292"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2015","New Private Cars","Number","30629"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2015","Second Hand Private Cars","Number","3910"
"All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","2014","New Private Cars","Number","1085"
"All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","2014","Second Hand Private Cars","Number","868"
"All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","2015","New Private Cars","Number","1262"
"All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","2015","Second Hand Private Cars","Number","786"
"All engine capacities with respect to private cars (cc)","All makes","Band  B","Wicklow","2014","New Private Cars","Number","604"
"All engine capacities with respect to private cars (cc)","All makes","Band  B","Wicklow","2014","Second Hand Private Cars","Number","480"
"All engine capacities with respect to private cars (cc)","All makes","Band  B","Wicklow","2015","New Private Cars","Number","683"
"All engine capacities with respect to private cars (cc)","All makes","Band  B","Wicklow","2015","Second Hand Private Cars","Number","408"
"All engine capacities with respect to private cars (cc)","All makes","Band  B","Dublin City & County","2014","New Private Cars","Number","8900"
"All engine capacities with respect to private cars (cc)","All makes","Band  B","Dublin City & County","2014","Second Hand Private Cars","Number","4600"
"All engine capacities with respect to private cars (cc)","All makes","Band  B","Dublin City & County","2015","New Private Cars","Number","10108"
"All engine capacities with respect to private cars (cc)","All makes","Band  B","Dublin City & County","2015","Second Hand Private Cars","Number","4007"
"All engine capacities with respect to private cars (cc)","All makes","Band  C","Kildare","2014","New Private Cars","Number","154"
"All engine capacities with respect to private cars (cc)","All makes","Band  C","Kildare","2014","Second Hand Private Cars","Number","384"
"All engine capacities with respect to private cars (cc)","All makes","Band  C","Kildare","2015","New Private Cars","Number","179"
"All engine capacities with respect to private cars (cc)","All makes","Band  C","Kildare","2015","Second Hand Private Cars","Number","308"
"All engine capacities with respect to private cars (cc)","All makes","Band  C","Wicklow","2014","New Private Cars","Number","91"
"All engine capacities with respect to private cars (cc)","All makes","Band  C","Wicklow","2014","Second Hand Private Cars","Number","195"
"All engine capacities with respect to private cars (cc)","All makes","Band  C","Wicklow","2015","New Private Cars","Number","103"
"All engine capacities with respect to private cars (cc)","All makes","Band  C","Wicklow","2015","Second Hand Private Cars","Number","154"
"All engine capacities with respect to private cars (cc)","All makes","Band  C","Dublin City & County","2014","New Private Cars","Number","1089"
"All engine capacities with respect to private cars (cc)","All makes","Band  C","Dublin City & County","2014","Second Hand Private Cars","Number","1602"
"All engine capacities with respect to private cars (cc)","All makes","Band  C","Dublin City & County","2015","New Private Cars","Number","1195"
"All engine capacities with respect to private cars (cc)","All makes","Band  C","Dublin City & County","2015","Second Hand Private Cars","Number","1388"
"All engine capacities with respect to private cars (cc)","All makes","Band  D","Kildare","2014","New Private Cars","Number","38"
"All engine capacities with respect to private cars (cc)","All makes","Band  D","Kildare","2014","Second Hand Private Cars","Number","157"
"All engine capacities with respect to private cars (cc)","All makes","Band  D","Kildare","2015","New Private Cars","Number","44"
"All engine capacities with respect to private cars (cc)","All makes","Band  D","Kildare","2015","Second Hand Private Cars","Number","106"
"All engine capacities with respect to private cars (cc)","All makes","Band  D","Wicklow","2014","New Private Cars","Number","18"
"All engine capacities with respect to private cars (cc)","All makes","Band  D","Wicklow","2014","Second Hand Private Cars","Number","85"
"All engine capacities with respect to private cars (cc)","All makes","Band  D","Wicklow","2015","New Private Cars","Number","25"
"All engine capacities with respect to private cars (cc)","All makes","Band  D","Wicklow","2015","Second Hand Private Cars","Number","59"
"All engine capacities with respect to private cars (cc)","All makes","Band  D","Dublin City & County","2014","New Private Cars","Number","389"
