"Engine Capacity cc","Car Make","Emission Band","Licensing Authority","Year","Statistic Label","UNIT","VALUE"
"All engine capacities with respect to private cars (cc)","All makes","Band  D","Dublin City & County","2014","Second Hand Private Cars","Number","784"
"All engine capacities with respect to private cars (cc)","All makes","Band  D","Dublin City & County","2015","New Private Cars","Number","692"
"All engine capacities with respect to private cars (cc)","All makes","Band  D","Dublin City & County","2015","Second Hand Private Cars","Number","625"
"All engine capacities with respect to private cars (cc)","All makes","Band  E","Kildare","2014","New Private Cars","Number","18"
"All engine capacities with respect to private cars (cc)","All makes","Band  E","Kildare","2014","Second Hand Private Cars","Number","71"
"All engine capacities with respect to private cars (cc)","All makes","Band  E","Kildare","2015","New Private Cars","Number","33"
"All engine capacities with respect to private cars (cc)","All makes","Band  E","Kildare","2015","Second Hand Private Cars","Number","61"
"All engine capacities with respect to private cars (cc)","All makes","Band  E","Wicklow","2014","New Private Cars","Number","5"
"All engine capacities with respect to private cars (cc)","All makes","Band  E","Wicklow","2014","Second Hand Private Cars","Number","59"
"All engine capacities with respect to private cars (cc)","All makes","Band  E","Wicklow","2015","New Private Cars","Number","23"
"All engine capacities with respect to private cars (cc)","All makes","Band  E","Wicklow","2015","Second Hand Private Cars","Number","34"
"All engine capacities with respect to private cars (cc)","All makes","Band  E","Dublin City & County","2014","New Private Cars","Number","208"
"All engine capacities with respect to private cars (cc)","All makes","Band  E","Dublin City & County","2014","Second Hand Private Cars","Number","434"
"All engine capacities with respect to private cars (cc)","All makes","Band  E","Dublin City & County","2015","New Private Cars","Number","374"
"All engine capacities with respect to private cars (cc)","All makes","Band  E","Dublin City & County","2015","Second Hand Private Cars","Number","338"
"All engine capacities with respect to private cars (cc)","All makes","Band  F","Kildare","2014","New Private Cars","Number","53"
"All engine capacities with respect to private cars (cc)","All makes","Band  F","Kildare","2014","Second Hand Private Cars","Number","35"
"All engine capacities with respect to private cars (cc)","All makes","Band  F","Kildare","2015","New Private Cars","Number","17"
"All engine capacities with respect to private cars (cc)","All makes","Band  F","Kildare","2015","Second Hand Private Cars","Number","29"
"All engine capacities with respect to private cars (cc)","All makes","Band  F","Wicklow","2014","New Private Cars","Number","23"
"All engine capacities with respect to private cars (cc)","All makes","Band  F","Wicklow","2014","Second Hand Private Cars","Number","28"
"All engine capacities with respect to private cars (cc)","All makes","Band  F","Wicklow","2015","New Private Cars","Number","13"
"All engine capacities with respect to private cars (cc)","All makes","Band  F","Wicklow","2015","Second Hand Private Cars","Number","28"
"All engine capacities with respect to private cars (cc)","All makes","Band  F","Dublin City & County","2014","New Private Cars","Number","463"
"All engine capacities with respect to private cars (cc)","All makes","Band  F","Dublin City & County","2014","Second Hand Private Cars","Number","234"
"All engine capacities with respect to private cars (cc)","All makes","Band  F","Dublin City & County","2015","New Private Cars","Number","266"
"All engine capacities with respect to private cars (cc)","All makes","Band  F","Dublin City & County","2015","Second Hand Private Cars","Number","190"
"All engine capacities with respect to private cars (cc)","All makes","Band  G","Kildare","2014","New Private Cars","Number","3"
"All engine capacities with respect to private cars (cc)","All makes","Band  G","Kildare","2014","Second Hand Private Cars","Number","18"
"All engine capacities with respect to private cars (cc)","All makes","Band  G","Kildare","2015","New Private Cars","Number","2"
"All engine capacities with respect to private cars (cc)","All makes","Band  G","Kildare","2015","Second Hand Private Cars","Number","18"
"All engine capacities with respect to private cars (cc)","All makes","Band  G","Wicklow","2014","New Private Cars","Number","2"
"All engine capacities with respect to private cars (cc)","All makes","Band  G","Wicklow","2014","Second Hand Private Cars","Number","21"
"All engine capacities with respect to private cars (cc)","All makes","Band  G","Wicklow","2015","New Private Cars","Number","2"
"All engine capacities with respect to private cars (cc)","All makes","Band  G","Wicklow","2015","Second Hand Private Cars","Number","18"
"All engine capacities with respect to private cars (cc)","All makes","Band  G","Dublin City & County","2014","New Private Cars","Number","76"
"All engine capacities with respect to private cars (cc)","All makes","Band  G","Dublin City & County","2014","Second Hand Private Cars","Number","122"
"All engine capacities with respect to private cars (cc)","All makes","Band  G","Dublin City & County","2015","New Private Cars","Number","31"
"All engine capacities with respect to private cars (cc)","All makes","Band  G","Dublin City & County","2015","Second Hand Private Cars","Number","126"
"All engine capacities with respect to private cars (cc)","All makes","Not available","Kildare","2014","New Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Not available","Kildare","2014","Second Hand Private Cars","Number","45"
"All engine capacities with respect to private cars (cc)","All makes","Not available","Kildare","2015","New Private Cars","Number","1"
"All engine capacities with respect to private cars (cc)","All makes","Not available","Kildare","2015","Second Hand Private Cars","Number","50"
"All engine capacities with respect to private cars (cc)","All makes","Not available","Wicklow","2014","New Private Cars","Number","1"
"All engine capacities with respect to private cars (cc)","All makes","Not available","Wicklow","2014","Second Hand Private Cars","Number","49"
"All engine capacities with respect to private cars (cc)","All makes","Not available","Wicklow","2015","New Private Cars","Number","2"
"All engine capacities with respect to private cars (cc)","All makes","Not available","Wicklow","2015","Second Hand Private Cars","Number","41"
"All engine capacities with respect to private cars (cc)","All makes","Not available","Dublin City & County","2014","New Private Cars","Number","15"
"All engine capacities with respect to private cars (cc)","All makes","Not available","Dublin City & County","2014","Second Hand Private Cars","Number","153"
"All engine capacities with respect to private cars (cc)","All makes","Not available","Dublin City & County","2015","New Private Cars","Number","15"
"All engine capacities with respect to private cars (cc)","All makes","Not available","Dublin City & County","2015","Second Hand Private Cars","Number","120"
