"Statistic Label","Year","Engine Capacity cc","Car Make","Emission Band","Licensing Authority","UNIT","VALUE"
"New Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  C","Wicklow","Number","112"
"New Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  C","Dublin","Number","2248"
"New Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  D","Kildare","Number","145"
"New Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  D","Wicklow","Number","41"
"New Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  D","Dublin","Number","1151"
"New Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  E","Kildare","Number","29"
"New Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  E","Wicklow","Number","11"
"New Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  E","Dublin","Number","775"
"New Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  F","Kildare","Number","21"
"New Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  F","Wicklow","Number","6"
"New Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  F","Dublin","Number","352"
"New Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  G","Kildare","Number","1"
"New Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  G","Wicklow","Number","1"
"New Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  G","Dublin","Number","28"
"New Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Not available","Kildare","Number","0"
"New Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Not available","Wicklow","Number","1"
"New Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Not available","Dublin","Number","18"
"New Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","Number","2906"
"New Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","Number","1585"
"New Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin","Number","20104"
"New Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","Number","985"
"New Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  B","Wicklow","Number","443"
"New Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  B","Dublin","Number","6642"
"New Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  C","Kildare","Number","126"
"New Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  C","Wicklow","Number","67"
"New Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  C","Dublin","Number","1109"
"New Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  D","Kildare","Number","54"
"New Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  D","Wicklow","Number","27"
"New Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  D","Dublin","Number","567"
"New Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  E","Kildare","Number","16"
"New Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  E","Wicklow","Number","9"
"New Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  E","Dublin","Number","153"
"New Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  F","Kildare","Number","30"
"New Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  F","Wicklow","Number","14"
"New Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  F","Dublin","Number","196"
"New Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  G","Kildare","Number",""
"New Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  G","Wicklow","Number","2"
"New Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  G","Dublin","Number","29"
"New Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Not available","Kildare","Number","1"
"New Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Not available","Wicklow","Number",""
"New Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Not available","Dublin","Number","10"
