"Statistic Label","Year","Engine Capacity cc","Car Make","Emission Band","Licensing Authority","UNIT","VALUE"
"Second Hand Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  D","Kildare","Number","92"
"Second Hand Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  D","Wicklow","Number","73"
"Second Hand Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  D","Dublin","Number","633"
"Second Hand Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  E","Kildare","Number","69"
"Second Hand Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  E","Wicklow","Number","38"
"Second Hand Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  E","Dublin","Number","377"
"Second Hand Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  F","Kildare","Number","40"
"Second Hand Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  F","Wicklow","Number","28"
"Second Hand Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  F","Dublin","Number","234"
"Second Hand Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  G","Kildare","Number","28"
"Second Hand Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  G","Wicklow","Number","25"
"Second Hand Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  G","Dublin","Number","179"
"Second Hand Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Not available","Kildare","Number","28"
"Second Hand Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Not available","Wicklow","Number","37"
"Second Hand Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Not available","Dublin","Number","140"
"Second Hand Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","Number","2653"
"Second Hand Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","Number","1240"
"Second Hand Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin","Number","14616"
"Second Hand Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","Number","813"
"Second Hand Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  B","Wicklow","Number","423"
"Second Hand Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  B","Dublin","Number","4805"
"Second Hand Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  C","Kildare","Number","161"
"Second Hand Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  C","Wicklow","Number","106"
"Second Hand Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  C","Dublin","Number","1060"
"Second Hand Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  D","Kildare","Number","96"
"Second Hand Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  D","Wicklow","Number","37"
"Second Hand Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  D","Dublin","Number","549"
"Second Hand Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  E","Kildare","Number","43"
"Second Hand Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  E","Wicklow","Number","38"
"Second Hand Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  E","Dublin","Number","263"
"Second Hand Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  F","Kildare","Number","24"
"Second Hand Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  F","Wicklow","Number","28"
"Second Hand Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  F","Dublin","Number","169"
"Second Hand Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  G","Kildare","Number","27"
"Second Hand Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  G","Wicklow","Number","20"
"Second Hand Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Band  G","Dublin","Number","137"
"Second Hand Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Not available","Kildare","Number","22"
"Second Hand Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Not available","Wicklow","Number","10"
"Second Hand Private Cars","2020","All engine capacities with respect to private cars (cc)","All makes","Not available","Dublin","Number","118"
"Second Hand Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","Number","2405"
"Second Hand Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","Number","1174"
"Second Hand Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin","Number","14711"
"Second Hand Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","Number","585"
"Second Hand Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  B","Wicklow","Number","288"
"Second Hand Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  B","Dublin","Number","3586"
"Second Hand Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  C","Kildare","Number","135"
"Second Hand Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  C","Wicklow","Number","85"
"Second Hand Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  C","Dublin","Number","816"
"Second Hand Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  D","Kildare","Number","57"
"Second Hand Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  D","Wicklow","Number","37"
"Second Hand Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  D","Dublin","Number","388"
"Second Hand Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  E","Kildare","Number","36"
"Second Hand Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  E","Wicklow","Number","30"
"Second Hand Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  E","Dublin","Number","254"
"Second Hand Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  F","Kildare","Number","42"
"Second Hand Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  F","Wicklow","Number","31"
"Second Hand Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  F","Dublin","Number","186"
"Second Hand Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  G","Kildare","Number","38"
"Second Hand Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  G","Wicklow","Number","24"
"Second Hand Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Band  G","Dublin","Number","196"
"Second Hand Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Not available","Kildare","Number","22"
"Second Hand Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Not available","Wicklow","Number","21"
"Second Hand Private Cars","2021","All engine capacities with respect to private cars (cc)","All makes","Not available","Dublin","Number","109"
"Second Hand Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","Number","1812"
"Second Hand Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","Number","785"
"Second Hand Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin","Number","12397"
"Second Hand Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","Number","412"
"Second Hand Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  B","Wicklow","Number","194"
"Second Hand Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  B","Dublin","Number","2463"
"Second Hand Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  C","Kildare","Number","103"
"Second Hand Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  C","Wicklow","Number","76"
"Second Hand Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  C","Dublin","Number","778"
"Second Hand Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  D","Kildare","Number","53"
"Second Hand Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  D","Wicklow","Number","31"
"Second Hand Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  D","Dublin","Number","302"
"Second Hand Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  E","Kildare","Number","31"
"Second Hand Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  E","Wicklow","Number","22"
"Second Hand Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  E","Dublin","Number","199"
"Second Hand Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  F","Kildare","Number","30"
"Second Hand Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  F","Wicklow","Number","17"
"Second Hand Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  F","Dublin","Number","105"
"Second Hand Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  G","Kildare","Number","32"
"Second Hand Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  G","Wicklow","Number","10"
"Second Hand Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  G","Dublin","Number","103"
"Second Hand Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Not available","Kildare","Number","23"
"Second Hand Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Not available","Wicklow","Number","14"
"Second Hand Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Not available","Dublin","Number","96"
"Second Hand Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","Number","1812"
"Second Hand Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","Number","824"
"Second Hand Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin","Number","12777"
"Second Hand Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","Number","520"
"Second Hand Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  B","Wicklow","Number","241"
"Second Hand Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  B","Dublin","Number","2853"
"Second Hand Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  C","Kildare","Number","216"
"Second Hand Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  C","Wicklow","Number","113"
"Second Hand Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  C","Dublin","Number","1155"
"Second Hand Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  D","Kildare","Number","64"
"Second Hand Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  D","Wicklow","Number","41"
"Second Hand Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  D","Dublin","Number","364"
"Second Hand Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  E","Kildare","Number","28"
"Second Hand Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  E","Wicklow","Number","18"
"Second Hand Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  E","Dublin","Number","187"
"Second Hand Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  F","Kildare","Number","28"
"Second Hand Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  F","Wicklow","Number","21"
"Second Hand Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  F","Dublin","Number","134"
"Second Hand Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  G","Kildare","Number","27"
"Second Hand Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  G","Wicklow","Number","15"
"Second Hand Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  G","Dublin","Number","106"
"Second Hand Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Not available","Kildare","Number","18"
"Second Hand Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Not available","Wicklow","Number","19"
"Second Hand Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Not available","Dublin","Number","79"
"Second Hand Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","Number","2330"
"Second Hand Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","Number","1118"
"Second Hand Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin","Number","16536"
"Second Hand Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","Number","647"
"Second Hand Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  B","Wicklow","Number","297"
"Second Hand Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  B","Dublin","Number","3638"
"Second Hand Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  C","Kildare","Number","188"
"Second Hand Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  C","Wicklow","Number","102"
"Second Hand Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  C","Dublin","Number","1079"
"Second Hand Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  D","Kildare","Number","108"
"Second Hand Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  D","Wicklow","Number","48"
"Second Hand Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  D","Dublin","Number","397"
"Second Hand Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  E","Kildare","Number","37"
"Second Hand Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  E","Wicklow","Number","25"
"Second Hand Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  E","Dublin","Number","221"
"Second Hand Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  F","Kildare","Number","38"
"Second Hand Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  F","Wicklow","Number","17"
"Second Hand Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  F","Dublin","Number","144"
"Second Hand Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  G","Kildare","Number","19"
"Second Hand Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  G","Wicklow","Number","20"
"Second Hand Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  G","Dublin","Number","114"
"Second Hand Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Not available","Kildare","Number","20"
"Second Hand Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Not available","Wicklow","Number","14"
"Second Hand Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Not available","Dublin","Number","93"
"Second Hand Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","Number","2581"
"Second Hand Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","Number","1254"
"Second Hand Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin","Number","18994"
"Second Hand Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","Number","720"
"Second Hand Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  B","Wicklow","Number","331"
"Second Hand Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  B","Dublin","Number","4347"
"Second Hand Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  C","Kildare","Number","198"
"Second Hand Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  C","Wicklow","Number","109"
"Second Hand Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  C","Dublin","Number","1281"
"Second Hand Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  D","Kildare","Number","100"
"Second Hand Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  D","Wicklow","Number","56"
"Second Hand Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  D","Dublin","Number","552"
"Second Hand Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  E","Kildare","Number","49"
"Second Hand Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  E","Wicklow","Number","33"
"Second Hand Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  E","Dublin","Number","234"
"Second Hand Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  F","Kildare","Number","40"
"Second Hand Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  F","Wicklow","Number","26"
"Second Hand Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  F","Dublin","Number","134"
"Second Hand Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  G","Kildare","Number","13"
"Second Hand Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  G","Wicklow","Number","13"
"Second Hand Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  G","Dublin","Number","112"
"Second Hand Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Not available","Kildare","Number","32"
"Second Hand Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Not available","Wicklow","Number","39"
"Second Hand Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Not available","Dublin","Number","172"
