"STATISTIC Label","Year","Type of Vehicle Registration","Type of Fuel","UNIT","VALUE"
"New Vehicles Licensed for the First Time","2019","New Small Public Service Vehicles","All fuel types","Number","435"
"New Vehicles Licensed for the First Time","2019","New Small Public Service Vehicles","Petrol","Number","6"
"New Vehicles Licensed for the First Time","2019","New Small Public Service Vehicles","Diesel","Number","344"
"New Vehicles Licensed for the First Time","2019","New Small Public Service Vehicles","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2019","New Small Public Service Vehicles","Petrol and electric hybrid","Number","60"
"New Vehicles Licensed for the First Time","2019","New Small Public Service Vehicles","Electric","Number","23"
"New Vehicles Licensed for the First Time","2019","New Small Public Service Vehicles","Petrol or Diesel plug-in hybrid electric","Number","2"
"New Vehicles Licensed for the First Time","2019","New Small Public Service Vehicles","Diesel and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2019","New Large Public Service Vehicles","All fuel types","Number","509"
"New Vehicles Licensed for the First Time","2019","New Large Public Service Vehicles","Petrol","Number","0"
"New Vehicles Licensed for the First Time","2019","New Large Public Service Vehicles","Diesel","Number","509"
"New Vehicles Licensed for the First Time","2019","New Large Public Service Vehicles","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2019","New Large Public Service Vehicles","Petrol and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2019","New Large Public Service Vehicles","Electric","Number","0"
"New Vehicles Licensed for the First Time","2019","New Large Public Service Vehicles","Petrol or Diesel plug-in hybrid electric","Number","0"
"New Vehicles Licensed for the First Time","2019","New Large Public Service Vehicles","Diesel and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2019","New Machines or Contrivances","All fuel types","Number","547"
"New Vehicles Licensed for the First Time","2019","New Machines or Contrivances","Petrol","Number","0"
"New Vehicles Licensed for the First Time","2019","New Machines or Contrivances","Diesel","Number","544"
"New Vehicles Licensed for the First Time","2019","New Machines or Contrivances","Other fuel types","Number","2"
"New Vehicles Licensed for the First Time","2019","New Machines or Contrivances","Petrol and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2019","New Machines or Contrivances","Electric","Number","1"
"New Vehicles Licensed for the First Time","2019","New Machines or Contrivances","Petrol or Diesel plug-in hybrid electric","Number","0"
"New Vehicles Licensed for the First Time","2019","New Machines or Contrivances","Diesel and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2019","Other Classes New Other Vehicles","All fuel types","Number","346"
"New Vehicles Licensed for the First Time","2019","Other Classes New Other Vehicles","Petrol","Number","0"
"New Vehicles Licensed for the First Time","2019","Other Classes New Other Vehicles","Diesel","Number","341"
"New Vehicles Licensed for the First Time","2019","Other Classes New Other Vehicles","Other fuel types","Number","1"
"New Vehicles Licensed for the First Time","2019","Other Classes New Other Vehicles","Petrol and electric hybrid","Number","4"
"New Vehicles Licensed for the First Time","2019","Other Classes New Other Vehicles","Electric","Number","0"
"New Vehicles Licensed for the First Time","2019","Other Classes New Other Vehicles","Petrol or Diesel plug-in hybrid electric","Number","0"
"New Vehicles Licensed for the First Time","2019","Other Classes New Other Vehicles","Diesel and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2020","All Vehicles","All fuel types","Number","116514"
"New Vehicles Licensed for the First Time","2020","All Vehicles","Petrol","Number","34586"
"New Vehicles Licensed for the First Time","2020","All Vehicles","Diesel","Number","64008"
"New Vehicles Licensed for the First Time","2020","All Vehicles","Other fuel types","Number","19"
"New Vehicles Licensed for the First Time","2020","All Vehicles","Petrol and electric hybrid","Number","10433"
"New Vehicles Licensed for the First Time","2020","All Vehicles","Electric","Number","4443"
"New Vehicles Licensed for the First Time","2020","All Vehicles","Petrol or Diesel plug-in hybrid electric","Number","2496"
"New Vehicles Licensed for the First Time","2020","All Vehicles","Diesel and electric hybrid","Number","529"
"New Vehicles Licensed for the First Time","2020","New Private Cars","All fuel types","Number","84309"
"New Vehicles Licensed for the First Time","2020","New Private Cars","Petrol","Number","31507"
"New Vehicles Licensed for the First Time","2020","New Private Cars","Diesel","Number","36208"
"New Vehicles Licensed for the First Time","2020","New Private Cars","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2020","New Private Cars","Petrol and electric hybrid","Number","9787"
"New Vehicles Licensed for the First Time","2020","New Private Cars","Electric","Number","3940"
"New Vehicles Licensed for the First Time","2020","New Private Cars","Petrol or Diesel plug-in hybrid electric","Number","2402"
"New Vehicles Licensed for the First Time","2020","New Private Cars","Diesel and electric hybrid","Number","465"
"New Vehicles Licensed for the First Time","2020","New Goods Vehicles","All fuel types","Number","21495"
"New Vehicles Licensed for the First Time","2020","New Goods Vehicles","Petrol","Number","21"
"New Vehicles Licensed for the First Time","2020","New Goods Vehicles","Diesel","Number","20977"
"New Vehicles Licensed for the First Time","2020","New Goods Vehicles","Other fuel types","Number","19"
"New Vehicles Licensed for the First Time","2020","New Goods Vehicles","Petrol and electric hybrid","Number","1"
"New Vehicles Licensed for the First Time","2020","New Goods Vehicles","Electric","Number","443"
"New Vehicles Licensed for the First Time","2020","New Goods Vehicles","Petrol or Diesel plug-in hybrid electric","Number","14"
"New Vehicles Licensed for the First Time","2020","New Goods Vehicles","Diesel and electric hybrid","Number","20"
"New Vehicles Licensed for the First Time","2020","New Tractors","All fuel types","Number","2190"
"New Vehicles Licensed for the First Time","2020","New Tractors","Petrol","Number","89"
"New Vehicles Licensed for the First Time","2020","New Tractors","Diesel","Number","2101"
"New Vehicles Licensed for the First Time","2020","New Tractors","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2020","New Tractors","Petrol and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2020","New Tractors","Electric","Number","0"
"New Vehicles Licensed for the First Time","2020","New Tractors","Petrol or Diesel plug-in hybrid electric","Number","0"
"New Vehicles Licensed for the First Time","2020","New Tractors","Diesel and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2020","New Motor Cycles","All fuel types","Number","1709"
"New Vehicles Licensed for the First Time","2020","New Motor Cycles","Petrol","Number","1674"
"New Vehicles Licensed for the First Time","2020","New Motor Cycles","Diesel","Number","0"
"New Vehicles Licensed for the First Time","2020","New Motor Cycles","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2020","New Motor Cycles","Petrol and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2020","New Motor Cycles","Electric","Number","34"
"New Vehicles Licensed for the First Time","2020","New Motor Cycles","Petrol or Diesel plug-in hybrid electric","Number","1"
"New Vehicles Licensed for the First Time","2020","New Motor Cycles","Diesel and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2020","New Exempt Vehicles","All fuel types","Number","5692"
"New Vehicles Licensed for the First Time","2020","New Exempt Vehicles","Petrol","Number","1288"
"New Vehicles Licensed for the First Time","2020","New Exempt Vehicles","Diesel","Number","3671"
"New Vehicles Licensed for the First Time","2020","New Exempt Vehicles","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2020","New Exempt Vehicles","Petrol and electric hybrid","Number","589"
"New Vehicles Licensed for the First Time","2020","New Exempt Vehicles","Electric","Number","22"
"New Vehicles Licensed for the First Time","2020","New Exempt Vehicles","Petrol or Diesel plug-in hybrid electric","Number","78"
"New Vehicles Licensed for the First Time","2020","New Exempt Vehicles","Diesel and electric hybrid","Number","44"
"New Vehicles Licensed for the First Time","2020","New Public Service Vehicles","All fuel types","Number","379"
"New Vehicles Licensed for the First Time","2020","New Public Service Vehicles","Petrol","Number","3"
"New Vehicles Licensed for the First Time","2020","New Public Service Vehicles","Diesel","Number","316"
"New Vehicles Licensed for the First Time","2020","New Public Service Vehicles","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2020","New Public Service Vehicles","Petrol and electric hybrid","Number","56"
"New Vehicles Licensed for the First Time","2020","New Public Service Vehicles","Electric","Number","3"
"New Vehicles Licensed for the First Time","2020","New Public Service Vehicles","Petrol or Diesel plug-in hybrid electric","Number","1"
"New Vehicles Licensed for the First Time","2020","New Public Service Vehicles","Diesel and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2020","New Small Public Service Vehicles","All fuel types","Number","212"
"New Vehicles Licensed for the First Time","2020","New Small Public Service Vehicles","Petrol","Number","3"
"New Vehicles Licensed for the First Time","2020","New Small Public Service Vehicles","Diesel","Number","149"
"New Vehicles Licensed for the First Time","2020","New Small Public Service Vehicles","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2020","New Small Public Service Vehicles","Petrol and electric hybrid","Number","56"
"New Vehicles Licensed for the First Time","2020","New Small Public Service Vehicles","Electric","Number","3"
"New Vehicles Licensed for the First Time","2020","New Small Public Service Vehicles","Petrol or Diesel plug-in hybrid electric","Number","1"
"New Vehicles Licensed for the First Time","2020","New Small Public Service Vehicles","Diesel and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2020","New Large Public Service Vehicles","All fuel types","Number","167"
"New Vehicles Licensed for the First Time","2020","New Large Public Service Vehicles","Petrol","Number","0"
"New Vehicles Licensed for the First Time","2020","New Large Public Service Vehicles","Diesel","Number","167"
"New Vehicles Licensed for the First Time","2020","New Large Public Service Vehicles","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2020","New Large Public Service Vehicles","Petrol and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2020","New Large Public Service Vehicles","Electric","Number","0"
"New Vehicles Licensed for the First Time","2020","New Large Public Service Vehicles","Petrol or Diesel plug-in hybrid electric","Number","0"
"New Vehicles Licensed for the First Time","2020","New Large Public Service Vehicles","Diesel and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2020","New Machines or Contrivances","All fuel types","Number","415"
"New Vehicles Licensed for the First Time","2020","New Machines or Contrivances","Petrol","Number","1"
"New Vehicles Licensed for the First Time","2020","New Machines or Contrivances","Diesel","Number","413"
"New Vehicles Licensed for the First Time","2020","New Machines or Contrivances","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2020","New Machines or Contrivances","Petrol and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2020","New Machines or Contrivances","Electric","Number","1"
"New Vehicles Licensed for the First Time","2020","New Machines or Contrivances","Petrol or Diesel plug-in hybrid electric","Number","0"
"New Vehicles Licensed for the First Time","2020","New Machines or Contrivances","Diesel and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2020","Other Classes New Other Vehicles","All fuel types","Number","325"
"New Vehicles Licensed for the First Time","2020","Other Classes New Other Vehicles","Petrol","Number","3"
"New Vehicles Licensed for the First Time","2020","Other Classes New Other Vehicles","Diesel","Number","322"
"New Vehicles Licensed for the First Time","2020","Other Classes New Other Vehicles","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2020","Other Classes New Other Vehicles","Petrol and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2020","Other Classes New Other Vehicles","Electric","Number","0"
"New Vehicles Licensed for the First Time","2020","Other Classes New Other Vehicles","Petrol or Diesel plug-in hybrid electric","Number","0"
"New Vehicles Licensed for the First Time","2020","Other Classes New Other Vehicles","Diesel and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2021","All Vehicles","All fuel types","Number","142376"
"New Vehicles Licensed for the First Time","2021","All Vehicles","Petrol","Number","36472"
"New Vehicles Licensed for the First Time","2021","All Vehicles","Diesel","Number","68468"
"New Vehicles Licensed for the First Time","2021","All Vehicles","Other fuel types","Number","322"
"New Vehicles Licensed for the First Time","2021","All Vehicles","Petrol and electric hybrid","Number","16976"
"New Vehicles Licensed for the First Time","2021","All Vehicles","Electric","Number","9616"
"New Vehicles Licensed for the First Time","2021","All Vehicles","Petrol or Diesel plug-in hybrid electric","Number","7995"
"New Vehicles Licensed for the First Time","2021","All Vehicles","Diesel and electric hybrid","Number","2527"
"New Vehicles Licensed for the First Time","2021","New Private Cars","All fuel types","Number","101853"
"New Vehicles Licensed for the First Time","2021","New Private Cars","Petrol","Number","32950"
"New Vehicles Licensed for the First Time","2021","New Private Cars","Diesel","Number","34396"
"New Vehicles Licensed for the First Time","2021","New Private Cars","Other fuel types","Number","292"
"New Vehicles Licensed for the First Time","2021","New Private Cars","Petrol and electric hybrid","Number","16027"
"New Vehicles Licensed for the First Time","2021","New Private Cars","Electric","Number","8554"
"New Vehicles Licensed for the First Time","2021","New Private Cars","Petrol or Diesel plug-in hybrid electric","Number","7626"
"New Vehicles Licensed for the First Time","2021","New Private Cars","Diesel and electric hybrid","Number","2008"
"New Vehicles Licensed for the First Time","2021","New Goods Vehicles","All fuel types","Number","28387"
"New Vehicles Licensed for the First Time","2021","New Goods Vehicles","Petrol","Number","28"
"New Vehicles Licensed for the First Time","2021","New Goods Vehicles","Diesel","Number","27258"
"New Vehicles Licensed for the First Time","2021","New Goods Vehicles","Other fuel types","Number","23"
"New Vehicles Licensed for the First Time","2021","New Goods Vehicles","Petrol and electric hybrid","Number","7"
"New Vehicles Licensed for the First Time","2021","New Goods Vehicles","Electric","Number","894"
"New Vehicles Licensed for the First Time","2021","New Goods Vehicles","Petrol or Diesel plug-in hybrid electric","Number","20"
"New Vehicles Licensed for the First Time","2021","New Goods Vehicles","Diesel and electric hybrid","Number","157"
"New Vehicles Licensed for the First Time","2021","New Tractors","All fuel types","Number","2491"
"New Vehicles Licensed for the First Time","2021","New Tractors","Petrol","Number","63"
"New Vehicles Licensed for the First Time","2021","New Tractors","Diesel","Number","2428"
"New Vehicles Licensed for the First Time","2021","New Tractors","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2021","New Tractors","Petrol and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2021","New Tractors","Electric","Number","0"
"New Vehicles Licensed for the First Time","2021","New Tractors","Petrol or Diesel plug-in hybrid electric","Number","0"
"New Vehicles Licensed for the First Time","2021","New Tractors","Diesel and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2021","New Motor Cycles","All fuel types","Number","2335"
"New Vehicles Licensed for the First Time","2021","New Motor Cycles","Petrol","Number","2260"
"New Vehicles Licensed for the First Time","2021","New Motor Cycles","Diesel","Number","4"
"New Vehicles Licensed for the First Time","2021","New Motor Cycles","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2021","New Motor Cycles","Petrol and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2021","New Motor Cycles","Electric","Number","66"
"New Vehicles Licensed for the First Time","2021","New Motor Cycles","Petrol or Diesel plug-in hybrid electric","Number","5"
"New Vehicles Licensed for the First Time","2021","New Motor Cycles","Diesel and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2021","New Exempt Vehicles","All fuel types","Number","5604"
"New Vehicles Licensed for the First Time","2021","New Exempt Vehicles","Petrol","Number","1163"
"New Vehicles Licensed for the First Time","2021","New Exempt Vehicles","Diesel","Number","3002"
"New Vehicles Licensed for the First Time","2021","New Exempt Vehicles","Other fuel types","Number","5"
"New Vehicles Licensed for the First Time","2021","New Exempt Vehicles","Petrol and electric hybrid","Number","911"
"New Vehicles Licensed for the First Time","2021","New Exempt Vehicles","Electric","Number","60"
"New Vehicles Licensed for the First Time","2021","New Exempt Vehicles","Petrol or Diesel plug-in hybrid electric","Number","244"
"New Vehicles Licensed for the First Time","2021","New Exempt Vehicles","Diesel and electric hybrid","Number","219"
"New Vehicles Licensed for the First Time","2021","New Public Service Vehicles","All fuel types","Number","630"
"New Vehicles Licensed for the First Time","2021","New Public Service Vehicles","Petrol","Number","1"
"New Vehicles Licensed for the First Time","2021","New Public Service Vehicles","Diesel","Number","311"
"New Vehicles Licensed for the First Time","2021","New Public Service Vehicles","Other fuel types","Number","2"
"New Vehicles Licensed for the First Time","2021","New Public Service Vehicles","Petrol and electric hybrid","Number","31"
"New Vehicles Licensed for the First Time","2021","New Public Service Vehicles","Electric","Number","42"
"New Vehicles Licensed for the First Time","2021","New Public Service Vehicles","Petrol or Diesel plug-in hybrid electric","Number","100"
"New Vehicles Licensed for the First Time","2021","New Public Service Vehicles","Diesel and electric hybrid","Number","143"
"New Vehicles Licensed for the First Time","2021","New Small Public Service Vehicles","All fuel types","Number","156"
"New Vehicles Licensed for the First Time","2021","New Small Public Service Vehicles","Petrol","Number","1"
"New Vehicles Licensed for the First Time","2021","New Small Public Service Vehicles","Diesel","Number","79"
"New Vehicles Licensed for the First Time","2021","New Small Public Service Vehicles","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2021","New Small Public Service Vehicles","Petrol and electric hybrid","Number","31"
"New Vehicles Licensed for the First Time","2021","New Small Public Service Vehicles","Electric","Number","40"
"New Vehicles Licensed for the First Time","2021","New Small Public Service Vehicles","Petrol or Diesel plug-in hybrid electric","Number","0"
"New Vehicles Licensed for the First Time","2021","New Small Public Service Vehicles","Diesel and electric hybrid","Number","5"
"New Vehicles Licensed for the First Time","2021","New Large Public Service Vehicles","All fuel types","Number","474"
"New Vehicles Licensed for the First Time","2021","New Large Public Service Vehicles","Petrol","Number","0"
"New Vehicles Licensed for the First Time","2021","New Large Public Service Vehicles","Diesel","Number","232"
"New Vehicles Licensed for the First Time","2021","New Large Public Service Vehicles","Other fuel types","Number","2"
"New Vehicles Licensed for the First Time","2021","New Large Public Service Vehicles","Petrol and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2021","New Large Public Service Vehicles","Electric","Number","2"
"New Vehicles Licensed for the First Time","2021","New Large Public Service Vehicles","Petrol or Diesel plug-in hybrid electric","Number","100"
"New Vehicles Licensed for the First Time","2021","New Large Public Service Vehicles","Diesel and electric hybrid","Number","138"
"New Vehicles Licensed for the First Time","2021","New Machines or Contrivances","All fuel types","Number","570"
"New Vehicles Licensed for the First Time","2021","New Machines or Contrivances","Petrol","Number","0"
"New Vehicles Licensed for the First Time","2021","New Machines or Contrivances","Diesel","Number","570"
"New Vehicles Licensed for the First Time","2021","New Machines or Contrivances","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2021","New Machines or Contrivances","Petrol and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2021","New Machines or Contrivances","Electric","Number","0"
"New Vehicles Licensed for the First Time","2021","New Machines or Contrivances","Petrol or Diesel plug-in hybrid electric","Number","0"
"New Vehicles Licensed for the First Time","2021","New Machines or Contrivances","Diesel and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2021","Other Classes New Other Vehicles","All fuel types","Number","506"
"New Vehicles Licensed for the First Time","2021","Other Classes New Other Vehicles","Petrol","Number","7"
"New Vehicles Licensed for the First Time","2021","Other Classes New Other Vehicles","Diesel","Number","499"
"New Vehicles Licensed for the First Time","2021","Other Classes New Other Vehicles","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2021","Other Classes New Other Vehicles","Petrol and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2021","Other Classes New Other Vehicles","Electric","Number","0"
"New Vehicles Licensed for the First Time","2021","Other Classes New Other Vehicles","Petrol or Diesel plug-in hybrid electric","Number","0"
"New Vehicles Licensed for the First Time","2021","Other Classes New Other Vehicles","Diesel and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2022","All Vehicles","All fuel types","Number","137248"
"New Vehicles Licensed for the First Time","2022","All Vehicles","Petrol","Number","34749"
"New Vehicles Licensed for the First Time","2022","All Vehicles","Diesel","Number","56370"
"New Vehicles Licensed for the First Time","2022","All Vehicles","Other fuel types","Number","751"
"New Vehicles Licensed for the First Time","2022","All Vehicles","Petrol and electric hybrid","Number","20259"
"New Vehicles Licensed for the First Time","2022","All Vehicles","Electric","Number","16268"
"New Vehicles Licensed for the First Time","2022","All Vehicles","Petrol or Diesel plug-in hybrid electric","Number","7749"
"New Vehicles Licensed for the First Time","2022","All Vehicles","Diesel and electric hybrid","Number","1102"
"New Vehicles Licensed for the First Time","2022","New Private Cars","All fuel types","Number","101349"
"New Vehicles Licensed for the First Time","2022","New Private Cars","Petrol","Number","30627"
"New Vehicles Licensed for the First Time","2022","New Private Cars","Diesel","Number","27188"
"New Vehicles Licensed for the First Time","2022","New Private Cars","Other fuel types","Number","717"
"New Vehicles Licensed for the First Time","2022","New Private Cars","Petrol and electric hybrid","Number","19015"
"New Vehicles Licensed for the First Time","2022","New Private Cars","Electric","Number","15462"
"New Vehicles Licensed for the First Time","2022","New Private Cars","Petrol or Diesel plug-in hybrid electric","Number","7447"
"New Vehicles Licensed for the First Time","2022","New Private Cars","Diesel and electric hybrid","Number","893"
"New Vehicles Licensed for the First Time","2022","New Goods Vehicles","All fuel types","Number","23655"
"New Vehicles Licensed for the First Time","2022","New Goods Vehicles","Petrol","Number","121"
"New Vehicles Licensed for the First Time","2022","New Goods Vehicles","Diesel","Number","22974"
"New Vehicles Licensed for the First Time","2022","New Goods Vehicles","Other fuel types","Number","25"
"New Vehicles Licensed for the First Time","2022","New Goods Vehicles","Petrol and electric hybrid","Number","15"
"New Vehicles Licensed for the First Time","2022","New Goods Vehicles","Electric","Number","411"
"New Vehicles Licensed for the First Time","2022","New Goods Vehicles","Petrol or Diesel plug-in hybrid electric","Number","10"
"New Vehicles Licensed for the First Time","2022","New Goods Vehicles","Diesel and electric hybrid","Number","99"
"New Vehicles Licensed for the First Time","2022","New Tractors","All fuel types","Number","2368"
"New Vehicles Licensed for the First Time","2022","New Tractors","Petrol","Number","68"
"New Vehicles Licensed for the First Time","2022","New Tractors","Diesel","Number","2299"
"New Vehicles Licensed for the First Time","2022","New Tractors","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2022","New Tractors","Petrol and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2022","New Tractors","Electric","Number","1"
"New Vehicles Licensed for the First Time","2022","New Tractors","Petrol or Diesel plug-in hybrid electric","Number","0"
"New Vehicles Licensed for the First Time","2022","New Tractors","Diesel and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2022","New Motor Cycles","All fuel types","Number","2871"
"New Vehicles Licensed for the First Time","2022","New Motor Cycles","Petrol","Number","2772"
"New Vehicles Licensed for the First Time","2022","New Motor Cycles","Diesel","Number","18"
"New Vehicles Licensed for the First Time","2022","New Motor Cycles","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2022","New Motor Cycles","Petrol and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2022","New Motor Cycles","Electric","Number","81"
"New Vehicles Licensed for the First Time","2022","New Motor Cycles","Petrol or Diesel plug-in hybrid electric","Number","0"
"New Vehicles Licensed for the First Time","2022","New Motor Cycles","Diesel and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2022","New Exempt Vehicles","All fuel types","Number","5534"
"New Vehicles Licensed for the First Time","2022","New Exempt Vehicles","Petrol","Number","1149"
"New Vehicles Licensed for the First Time","2022","New Exempt Vehicles","Diesel","Number","2590"
"New Vehicles Licensed for the First Time","2022","New Exempt Vehicles","Other fuel types","Number","8"
"New Vehicles Licensed for the First Time","2022","New Exempt Vehicles","Petrol and electric hybrid","Number","1191"
"New Vehicles Licensed for the First Time","2022","New Exempt Vehicles","Electric","Number","241"
"New Vehicles Licensed for the First Time","2022","New Exempt Vehicles","Petrol or Diesel plug-in hybrid electric","Number","291"
"New Vehicles Licensed for the First Time","2022","New Exempt Vehicles","Diesel and electric hybrid","Number","64"
"New Vehicles Licensed for the First Time","2022","New Public Service Vehicles","All fuel types","Number","537"
"New Vehicles Licensed for the First Time","2022","New Public Service Vehicles","Petrol","Number","8"
"New Vehicles Licensed for the First Time","2022","New Public Service Vehicles","Diesel","Number","381"
"New Vehicles Licensed for the First Time","2022","New Public Service Vehicles","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2022","New Public Service Vehicles","Petrol and electric hybrid","Number","35"
"New Vehicles Licensed for the First Time","2022","New Public Service Vehicles","Electric","Number","68"
"New Vehicles Licensed for the First Time","2022","New Public Service Vehicles","Petrol or Diesel plug-in hybrid electric","Number","1"
"New Vehicles Licensed for the First Time","2022","New Public Service Vehicles","Diesel and electric hybrid","Number","44"
"New Vehicles Licensed for the First Time","2022","New Small Public Service Vehicles","All fuel types","Number","162"
"New Vehicles Licensed for the First Time","2022","New Small Public Service Vehicles","Petrol","Number","8"
"New Vehicles Licensed for the First Time","2022","New Small Public Service Vehicles","Diesel","Number","59"
"New Vehicles Licensed for the First Time","2022","New Small Public Service Vehicles","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2022","New Small Public Service Vehicles","Petrol and electric hybrid","Number","35"
"New Vehicles Licensed for the First Time","2022","New Small Public Service Vehicles","Electric","Number","57"
"New Vehicles Licensed for the First Time","2022","New Small Public Service Vehicles","Petrol or Diesel plug-in hybrid electric","Number","1"
"New Vehicles Licensed for the First Time","2022","New Small Public Service Vehicles","Diesel and electric hybrid","Number","2"
"New Vehicles Licensed for the First Time","2022","New Large Public Service Vehicles","All fuel types","Number","375"
"New Vehicles Licensed for the First Time","2022","New Large Public Service Vehicles","Petrol","Number","0"
"New Vehicles Licensed for the First Time","2022","New Large Public Service Vehicles","Diesel","Number","322"
"New Vehicles Licensed for the First Time","2022","New Large Public Service Vehicles","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2022","New Large Public Service Vehicles","Petrol and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2022","New Large Public Service Vehicles","Electric","Number","11"
"New Vehicles Licensed for the First Time","2022","New Large Public Service Vehicles","Petrol or Diesel plug-in hybrid electric","Number","0"
"New Vehicles Licensed for the First Time","2022","New Large Public Service Vehicles","Diesel and electric hybrid","Number","42"
"New Vehicles Licensed for the First Time","2022","New Machines or Contrivances","All fuel types","Number","561"
"New Vehicles Licensed for the First Time","2022","New Machines or Contrivances","Petrol","Number","0"
"New Vehicles Licensed for the First Time","2022","New Machines or Contrivances","Diesel","Number","557"
"New Vehicles Licensed for the First Time","2022","New Machines or Contrivances","Other fuel types","Number","1"
"New Vehicles Licensed for the First Time","2022","New Machines or Contrivances","Petrol and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2022","New Machines or Contrivances","Electric","Number","3"
"New Vehicles Licensed for the First Time","2022","New Machines or Contrivances","Petrol or Diesel plug-in hybrid electric","Number","0"
"New Vehicles Licensed for the First Time","2022","New Machines or Contrivances","Diesel and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2022","Other Classes New Other Vehicles","All fuel types","Number","373"
"New Vehicles Licensed for the First Time","2022","Other Classes New Other Vehicles","Petrol","Number","4"
"New Vehicles Licensed for the First Time","2022","Other Classes New Other Vehicles","Diesel","Number","363"
"New Vehicles Licensed for the First Time","2022","Other Classes New Other Vehicles","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2022","Other Classes New Other Vehicles","Petrol and electric hybrid","Number","3"
"New Vehicles Licensed for the First Time","2022","Other Classes New Other Vehicles","Electric","Number","1"
"New Vehicles Licensed for the First Time","2022","Other Classes New Other Vehicles","Petrol or Diesel plug-in hybrid electric","Number","0"
"New Vehicles Licensed for the First Time","2022","Other Classes New Other Vehicles","Diesel and electric hybrid","Number","2"
"New Vehicles Licensed for the First Time","2023","All Vehicles","All fuel types","Number","159778"
"New Vehicles Licensed for the First Time","2023","All Vehicles","Petrol","Number","43287"
"New Vehicles Licensed for the First Time","2023","All Vehicles","Diesel","Number","60525"
"New Vehicles Licensed for the First Time","2023","All Vehicles","Other fuel types","Number","30"
"New Vehicles Licensed for the First Time","2023","All Vehicles","Petrol and electric hybrid","Number","19382"
"New Vehicles Licensed for the First Time","2023","All Vehicles","Electric","Number","23762"
"New Vehicles Licensed for the First Time","2023","All Vehicles","Petrol or Diesel plug-in hybrid electric","Number","10348"
"New Vehicles Licensed for the First Time","2023","All Vehicles","Diesel and electric hybrid","Number","2444"
"New Vehicles Licensed for the First Time","2023","New Private Cars","All fuel types","Number","117424"
"New Vehicles Licensed for the First Time","2023","New Private Cars","Petrol","Number","38746"
"New Vehicles Licensed for the First Time","2023","New Private Cars","Diesel","Number","25938"
