"Statistic Label","Month","Licensing Authority","Type of Fuel","UNIT","VALUE"
"New Private Cars","2021 January","All licensing authorities","All fuel types","Number","16948"
"New Private Cars","2021 January","All licensing authorities","Petrol","Number","5557"
"New Private Cars","2021 January","All licensing authorities","Diesel","Number","5801"
"New Private Cars","2021 January","All licensing authorities","Other fuel types","Number","9"
"New Private Cars","2021 January","All licensing authorities","Petrol and electric hybrid","Number","3605"
"New Private Cars","2021 January","All licensing authorities","Electric","Number","739"
"New Private Cars","2021 January","All licensing authorities","Petrol or Diesel plug-in hybrid electric","Number","827"
"New Private Cars","2021 January","All licensing authorities","Diesel and electric hybrid","Number","410"
"New Private Cars","2021 January","Carlow","All fuel types","Number","249"
"New Private Cars","2021 January","Carlow","Petrol","Number","69"
"New Private Cars","2021 January","Carlow","Diesel","Number","118"
"New Private Cars","2021 January","Carlow","Other fuel types","Number",""
"New Private Cars","2021 January","Carlow","Petrol and electric hybrid","Number","29"
"New Private Cars","2021 January","Carlow","Electric","Number","17"
"New Private Cars","2021 January","Carlow","Petrol or Diesel plug-in hybrid electric","Number","12"
"New Private Cars","2021 January","Carlow","Diesel and electric hybrid","Number","4"
"New Private Cars","2021 January","Cavan","All fuel types","Number","236"
"New Private Cars","2021 January","Cavan","Petrol","Number","48"
"New Private Cars","2021 January","Cavan","Diesel","Number","125"
"New Private Cars","2021 January","Cavan","Other fuel types","Number",""
"New Private Cars","2021 January","Cavan","Petrol and electric hybrid","Number","42"
"New Private Cars","2021 January","Cavan","Electric","Number","10"
"New Private Cars","2021 January","Cavan","Petrol or Diesel plug-in hybrid electric","Number","8"
"New Private Cars","2021 January","Cavan","Diesel and electric hybrid","Number","3"
"New Private Cars","2021 January","Clare","All fuel types","Number","436"
"New Private Cars","2021 January","Clare","Petrol","Number","133"
"New Private Cars","2021 January","Clare","Diesel","Number","168"
"New Private Cars","2021 January","Clare","Other fuel types","Number",""
"New Private Cars","2021 January","Clare","Petrol and electric hybrid","Number","95"
"New Private Cars","2021 January","Clare","Electric","Number","14"
"New Private Cars","2021 January","Clare","Petrol or Diesel plug-in hybrid electric","Number","12"
"New Private Cars","2021 January","Clare","Diesel and electric hybrid","Number","14"
"New Private Cars","2021 January","Donegal","All fuel types","Number","396"
"New Private Cars","2021 January","Donegal","Petrol","Number","108"
"New Private Cars","2021 January","Donegal","Diesel","Number","165"
"New Private Cars","2021 January","Donegal","Other fuel types","Number",""
"New Private Cars","2021 January","Donegal","Petrol and electric hybrid","Number","67"
"New Private Cars","2021 January","Donegal","Electric","Number","12"
"New Private Cars","2021 January","Donegal","Petrol or Diesel plug-in hybrid electric","Number","24"
"New Private Cars","2021 January","Donegal","Diesel and electric hybrid","Number","20"
"New Private Cars","2021 January","Galway","All fuel types","Number","672"
"New Private Cars","2021 January","Galway","Petrol","Number","186"
"New Private Cars","2021 January","Galway","Diesel","Number","277"
"New Private Cars","2021 January","Galway","Other fuel types","Number",""
"New Private Cars","2021 January","Galway","Petrol and electric hybrid","Number","155"
"New Private Cars","2021 January","Galway","Electric","Number","27"
"New Private Cars","2021 January","Galway","Petrol or Diesel plug-in hybrid electric","Number","15"
"New Private Cars","2021 January","Galway","Diesel and electric hybrid","Number","12"
"New Private Cars","2021 January","Kerry","All fuel types","Number","426"
"New Private Cars","2021 January","Kerry","Petrol","Number","113"
"New Private Cars","2021 January","Kerry","Diesel","Number","194"
"New Private Cars","2021 January","Kerry","Other fuel types","Number",""
"New Private Cars","2021 January","Kerry","Petrol and electric hybrid","Number","72"
"New Private Cars","2021 January","Kerry","Electric","Number","15"
"New Private Cars","2021 January","Kerry","Petrol or Diesel plug-in hybrid electric","Number","18"
"New Private Cars","2021 January","Kerry","Diesel and electric hybrid","Number","14"
"New Private Cars","2021 January","Kildare","All fuel types","Number","867"
"New Private Cars","2021 January","Kildare","Petrol","Number","324"
"New Private Cars","2021 January","Kildare","Diesel","Number","258"
"New Private Cars","2021 January","Kildare","Other fuel types","Number",""
"New Private Cars","2021 January","Kildare","Petrol and electric hybrid","Number","174"
"New Private Cars","2021 January","Kildare","Electric","Number","35"
"New Private Cars","2021 January","Kildare","Petrol or Diesel plug-in hybrid electric","Number","46"
"New Private Cars","2021 January","Kildare","Diesel and electric hybrid","Number","30"
"New Private Cars","2021 January","Kilkenny","All fuel types","Number","418"
"New Private Cars","2021 January","Kilkenny","Petrol","Number","124"
"New Private Cars","2021 January","Kilkenny","Diesel","Number","179"
"New Private Cars","2021 January","Kilkenny","Other fuel types","Number",""
"New Private Cars","2021 January","Kilkenny","Petrol and electric hybrid","Number","80"
"New Private Cars","2021 January","Kilkenny","Electric","Number","13"
"New Private Cars","2021 January","Kilkenny","Petrol or Diesel plug-in hybrid electric","Number","5"
"New Private Cars","2021 January","Kilkenny","Diesel and electric hybrid","Number","17"
"New Private Cars","2021 January","Laois","All fuel types","Number","289"
"New Private Cars","2021 January","Laois","Petrol","Number","79"
"New Private Cars","2021 January","Laois","Diesel","Number","126"
"New Private Cars","2021 January","Laois","Other fuel types","Number",""
"New Private Cars","2021 January","Laois","Petrol and electric hybrid","Number","47"
"New Private Cars","2021 January","Laois","Electric","Number","9"
"New Private Cars","2021 January","Laois","Petrol or Diesel plug-in hybrid electric","Number","15"
"New Private Cars","2021 January","Laois","Diesel and electric hybrid","Number","13"
"New Private Cars","2021 January","Leitrim","All fuel types","Number","77"
"New Private Cars","2021 January","Leitrim","Petrol","Number","15"
"New Private Cars","2021 January","Leitrim","Diesel","Number","40"
"New Private Cars","2021 January","Leitrim","Other fuel types","Number",""
"New Private Cars","2021 January","Leitrim","Petrol and electric hybrid","Number","16"
"New Private Cars","2021 January","Leitrim","Electric","Number","2"
"New Private Cars","2021 January","Leitrim","Petrol or Diesel plug-in hybrid electric","Number","2"
"New Private Cars","2021 January","Leitrim","Diesel and electric hybrid","Number","2"
"New Private Cars","2021 January","Longford","All fuel types","Number","127"
"New Private Cars","2021 January","Longford","Petrol","Number","31"
"New Private Cars","2021 January","Longford","Diesel","Number","51"
"New Private Cars","2021 January","Longford","Other fuel types","Number",""
"New Private Cars","2021 January","Longford","Petrol and electric hybrid","Number","36"
"New Private Cars","2021 January","Longford","Electric","Number","2"
"New Private Cars","2021 January","Longford","Petrol or Diesel plug-in hybrid electric","Number","3"
"New Private Cars","2021 January","Longford","Diesel and electric hybrid","Number","4"
"New Private Cars","2021 January","Louth","All fuel types","Number","468"
"New Private Cars","2021 January","Louth","Petrol","Number","171"
"New Private Cars","2021 January","Louth","Diesel","Number","148"
"New Private Cars","2021 January","Louth","Other fuel types","Number",""
"New Private Cars","2021 January","Louth","Petrol and electric hybrid","Number","94"
"New Private Cars","2021 January","Louth","Electric","Number","24"
"New Private Cars","2021 January","Louth","Petrol or Diesel plug-in hybrid electric","Number","19"
"New Private Cars","2021 January","Louth","Diesel and electric hybrid","Number","12"
"New Private Cars","2021 January","Mayo","All fuel types","Number","316"
"New Private Cars","2021 January","Mayo","Petrol","Number","76"
"New Private Cars","2021 January","Mayo","Diesel","Number","147"
"New Private Cars","2021 January","Mayo","Other fuel types","Number",""
"New Private Cars","2021 January","Mayo","Petrol and electric hybrid","Number","66"
"New Private Cars","2021 January","Mayo","Electric","Number","10"
"New Private Cars","2021 January","Mayo","Petrol or Diesel plug-in hybrid electric","Number","11"
"New Private Cars","2021 January","Mayo","Diesel and electric hybrid","Number","6"
"New Private Cars","2021 January","Meath","All fuel types","Number","741"
"New Private Cars","2021 January","Meath","Petrol","Number","244"
"New Private Cars","2021 January","Meath","Diesel","Number","275"
"New Private Cars","2021 January","Meath","Other fuel types","Number",""
"New Private Cars","2021 January","Meath","Petrol and electric hybrid","Number","152"
"New Private Cars","2021 January","Meath","Electric","Number","23"
"New Private Cars","2021 January","Meath","Petrol or Diesel plug-in hybrid electric","Number","22"
"New Private Cars","2021 January","Meath","Diesel and electric hybrid","Number","25"
"New Private Cars","2021 January","Monaghan","All fuel types","Number","160"
"New Private Cars","2021 January","Monaghan","Petrol","Number","44"
"New Private Cars","2021 January","Monaghan","Diesel","Number","93"
"New Private Cars","2021 January","Monaghan","Other fuel types","Number",""
"New Private Cars","2021 January","Monaghan","Petrol and electric hybrid","Number","14"
"New Private Cars","2021 January","Monaghan","Electric","Number","4"
"New Private Cars","2021 January","Monaghan","Petrol or Diesel plug-in hybrid electric","Number","5"
"New Private Cars","2021 January","Monaghan","Diesel and electric hybrid","Number","0"
"New Private Cars","2021 January","Offaly","All fuel types","Number","302"
"New Private Cars","2021 January","Offaly","Petrol","Number","61"
"New Private Cars","2021 January","Offaly","Diesel","Number","148"
"New Private Cars","2021 January","Offaly","Other fuel types","Number",""
"New Private Cars","2021 January","Offaly","Petrol and electric hybrid","Number","67"
"New Private Cars","2021 January","Offaly","Electric","Number","8"
"New Private Cars","2021 January","Offaly","Petrol or Diesel plug-in hybrid electric","Number","9"
"New Private Cars","2021 January","Offaly","Diesel and electric hybrid","Number","9"
"New Private Cars","2021 January","Roscommon","All fuel types","Number","198"
"New Private Cars","2021 January","Roscommon","Petrol","Number","49"
"New Private Cars","2021 January","Roscommon","Diesel","Number","101"
"New Private Cars","2021 January","Roscommon","Other fuel types","Number",""
"New Private Cars","2021 January","Roscommon","Petrol and electric hybrid","Number","40"
"New Private Cars","2021 January","Roscommon","Electric","Number","4"
"New Private Cars","2021 January","Roscommon","Petrol or Diesel plug-in hybrid electric","Number","1"
"New Private Cars","2021 January","Roscommon","Diesel and electric hybrid","Number","3"
"New Private Cars","2021 January","Sligo","All fuel types","Number","185"
"New Private Cars","2021 January","Sligo","Petrol","Number","52"
"New Private Cars","2021 January","Sligo","Diesel","Number","74"
"New Private Cars","2021 January","Sligo","Other fuel types","Number",""
"New Private Cars","2021 January","Sligo","Petrol and electric hybrid","Number","40"
"New Private Cars","2021 January","Sligo","Electric","Number","12"
"New Private Cars","2021 January","Sligo","Petrol or Diesel plug-in hybrid electric","Number","4"
"New Private Cars","2021 January","Sligo","Diesel and electric hybrid","Number","3"
"New Private Cars","2021 January","Westmeath","All fuel types","Number","331"
"New Private Cars","2021 January","Westmeath","Petrol","Number","62"
"New Private Cars","2021 January","Westmeath","Diesel","Number","141"
"New Private Cars","2021 January","Westmeath","Other fuel types","Number",""
"New Private Cars","2021 January","Westmeath","Petrol and electric hybrid","Number","68"
"New Private Cars","2021 January","Westmeath","Electric","Number","22"
"New Private Cars","2021 January","Westmeath","Petrol or Diesel plug-in hybrid electric","Number","26"
"New Private Cars","2021 January","Westmeath","Diesel and electric hybrid","Number","12"
"New Private Cars","2021 January","Wexford","All fuel types","Number","561"
"New Private Cars","2021 January","Wexford","Petrol","Number","158"
"New Private Cars","2021 January","Wexford","Diesel","Number","225"
"New Private Cars","2021 January","Wexford","Other fuel types","Number","4"
"New Private Cars","2021 January","Wexford","Petrol and electric hybrid","Number","106"
"New Private Cars","2021 January","Wexford","Electric","Number","26"
"New Private Cars","2021 January","Wexford","Petrol or Diesel plug-in hybrid electric","Number","27"
"New Private Cars","2021 January","Wexford","Diesel and electric hybrid","Number","15"
"New Private Cars","2021 January","Wicklow","All fuel types","Number","439"
"New Private Cars","2021 January","Wicklow","Petrol","Number","164"
"New Private Cars","2021 January","Wicklow","Diesel","Number","112"
"New Private Cars","2021 January","Wicklow","Other fuel types","Number",""
"New Private Cars","2021 January","Wicklow","Petrol and electric hybrid","Number","98"
"New Private Cars","2021 January","Wicklow","Electric","Number","29"
"New Private Cars","2021 January","Wicklow","Petrol or Diesel plug-in hybrid electric","Number","23"
"New Private Cars","2021 January","Wicklow","Diesel and electric hybrid","Number","13"
"New Private Cars","2021 January","Limerick","All fuel types","Number","779"
"New Private Cars","2021 January","Limerick","Petrol","Number","240"
"New Private Cars","2021 January","Limerick","Diesel","Number","315"
"New Private Cars","2021 January","Limerick","Other fuel types","Number","1"
"New Private Cars","2021 January","Limerick","Petrol and electric hybrid","Number","146"
"New Private Cars","2021 January","Limerick","Electric","Number","23"
"New Private Cars","2021 January","Limerick","Petrol or Diesel plug-in hybrid electric","Number","33"
"New Private Cars","2021 January","Limerick","Diesel and electric hybrid","Number","21"
"New Private Cars","2021 January","Waterford","All fuel types","Number","514"
"New Private Cars","2021 January","Waterford","Petrol","Number","205"
"New Private Cars","2021 January","Waterford","Diesel","Number","176"
"New Private Cars","2021 January","Waterford","Other fuel types","Number",""
"New Private Cars","2021 January","Waterford","Petrol and electric hybrid","Number","81"
"New Private Cars","2021 January","Waterford","Electric","Number","19"
"New Private Cars","2021 January","Waterford","Petrol or Diesel plug-in hybrid electric","Number","23"
"New Private Cars","2021 January","Waterford","Diesel and electric hybrid","Number","10"
"New Private Cars","2021 January","Tipperary","All fuel types","Number","543"
"New Private Cars","2021 January","Tipperary","Petrol","Number","147"
"New Private Cars","2021 January","Tipperary","Diesel","Number","218"
"New Private Cars","2021 January","Tipperary","Other fuel types","Number",""
"New Private Cars","2021 January","Tipperary","Petrol and electric hybrid","Number","118"
"New Private Cars","2021 January","Tipperary","Electric","Number","21"
"New Private Cars","2021 January","Tipperary","Petrol or Diesel plug-in hybrid electric","Number","21"
"New Private Cars","2021 January","Tipperary","Diesel and electric hybrid","Number","18"
"New Private Cars","2021 January","Cork","All fuel types","Number","2362"
"New Private Cars","2021 January","Cork","Petrol","Number","802"
"New Private Cars","2021 January","Cork","Diesel","Number","822"
"New Private Cars","2021 January","Cork","Other fuel types","Number",""
"New Private Cars","2021 January","Cork","Petrol and electric hybrid","Number","489"
"New Private Cars","2021 January","Cork","Electric","Number","83"
"New Private Cars","2021 January","Cork","Petrol or Diesel plug-in hybrid electric","Number","88"
"New Private Cars","2021 January","Cork","Diesel and electric hybrid","Number","78"
"New Private Cars","2021 January","Dublin","All fuel types","Number","4856"
"New Private Cars","2021 January","Dublin","Petrol","Number","1852"
"New Private Cars","2021 January","Dublin","Diesel","Number","1105"
"New Private Cars","2021 January","Dublin","Other fuel types","Number","4"
"New Private Cars","2021 January","Dublin","Petrol and electric hybrid","Number","1213"
"New Private Cars","2021 January","Dublin","Electric","Number","275"
"New Private Cars","2021 January","Dublin","Petrol or Diesel plug-in hybrid electric","Number","355"
"New Private Cars","2021 January","Dublin","Diesel and electric hybrid","Number","52"
"New Private Cars","2021 February","All licensing authorities","All fuel types","Number","11672"
"New Private Cars","2021 February","All licensing authorities","Petrol","Number","3610"
"New Private Cars","2021 February","All licensing authorities","Diesel","Number","4505"
"New Private Cars","2021 February","All licensing authorities","Other fuel types","Number",""
"New Private Cars","2021 February","All licensing authorities","Petrol and electric hybrid","Number","2030"
"New Private Cars","2021 February","All licensing authorities","Electric","Number","570"
"New Private Cars","2021 February","All licensing authorities","Petrol or Diesel plug-in hybrid electric","Number","715"
"New Private Cars","2021 February","All licensing authorities","Diesel and electric hybrid","Number","242"
"New Private Cars","2021 February","Carlow","All fuel types","Number","181"
"New Private Cars","2021 February","Carlow","Petrol","Number","61"
"New Private Cars","2021 February","Carlow","Diesel","Number","65"
"New Private Cars","2021 February","Carlow","Other fuel types","Number",""
"New Private Cars","2021 February","Carlow","Petrol and electric hybrid","Number","29"
"New Private Cars","2021 February","Carlow","Electric","Number","15"
"New Private Cars","2021 February","Carlow","Petrol or Diesel plug-in hybrid electric","Number","8"
"New Private Cars","2021 February","Carlow","Diesel and electric hybrid","Number","3"
"New Private Cars","2021 February","Cavan","All fuel types","Number","198"
"New Private Cars","2021 February","Cavan","Petrol","Number","45"
"New Private Cars","2021 February","Cavan","Diesel","Number","104"
"New Private Cars","2021 February","Cavan","Other fuel types","Number",""
"New Private Cars","2021 February","Cavan","Petrol and electric hybrid","Number","38"
"New Private Cars","2021 February","Cavan","Electric","Number","5"
"New Private Cars","2021 February","Cavan","Petrol or Diesel plug-in hybrid electric","Number","5"
"New Private Cars","2021 February","Cavan","Diesel and electric hybrid","Number","1"
"New Private Cars","2021 February","Clare","All fuel types","Number","284"
"New Private Cars","2021 February","Clare","Petrol","Number","89"
"New Private Cars","2021 February","Clare","Diesel","Number","116"
"New Private Cars","2021 February","Clare","Other fuel types","Number",""
"New Private Cars","2021 February","Clare","Petrol and electric hybrid","Number","43"
"New Private Cars","2021 February","Clare","Electric","Number","12"
"New Private Cars","2021 February","Clare","Petrol or Diesel plug-in hybrid electric","Number","10"
"New Private Cars","2021 February","Clare","Diesel and electric hybrid","Number","14"
"New Private Cars","2021 February","Donegal","All fuel types","Number","331"
"New Private Cars","2021 February","Donegal","Petrol","Number","102"
"New Private Cars","2021 February","Donegal","Diesel","Number","132"
"New Private Cars","2021 February","Donegal","Other fuel types","Number",""
"New Private Cars","2021 February","Donegal","Petrol and electric hybrid","Number","52"
"New Private Cars","2021 February","Donegal","Electric","Number","12"
"New Private Cars","2021 February","Donegal","Petrol or Diesel plug-in hybrid electric","Number","19"
"New Private Cars","2021 February","Donegal","Diesel and electric hybrid","Number","14"
"New Private Cars","2021 February","Galway","All fuel types","Number","459"
"New Private Cars","2021 February","Galway","Petrol","Number","116"
"New Private Cars","2021 February","Galway","Diesel","Number","207"
"New Private Cars","2021 February","Galway","Other fuel types","Number",""
"New Private Cars","2021 February","Galway","Petrol and electric hybrid","Number","86"
"New Private Cars","2021 February","Galway","Electric","Number","25"
"New Private Cars","2021 February","Galway","Petrol or Diesel plug-in hybrid electric","Number","21"
"New Private Cars","2021 February","Galway","Diesel and electric hybrid","Number","4"
"New Private Cars","2021 February","Kerry","All fuel types","Number","337"
"New Private Cars","2021 February","Kerry","Petrol","Number","107"
"New Private Cars","2021 February","Kerry","Diesel","Number","142"
"New Private Cars","2021 February","Kerry","Other fuel types","Number",""
"New Private Cars","2021 February","Kerry","Petrol and electric hybrid","Number","55"
"New Private Cars","2021 February","Kerry","Electric","Number","10"
"New Private Cars","2021 February","Kerry","Petrol or Diesel plug-in hybrid electric","Number","11"
"New Private Cars","2021 February","Kerry","Diesel and electric hybrid","Number","12"
"New Private Cars","2021 February","Kildare","All fuel types","Number","584"
"New Private Cars","2021 February","Kildare","Petrol","Number","185"
"New Private Cars","2021 February","Kildare","Diesel","Number","229"
"New Private Cars","2021 February","Kildare","Other fuel types","Number",""
"New Private Cars","2021 February","Kildare","Petrol and electric hybrid","Number","88"
"New Private Cars","2021 February","Kildare","Electric","Number","21"
"New Private Cars","2021 February","Kildare","Petrol or Diesel plug-in hybrid electric","Number","50"
"New Private Cars","2021 February","Kildare","Diesel and electric hybrid","Number","11"
"New Private Cars","2021 February","Kilkenny","All fuel types","Number","261"
"New Private Cars","2021 February","Kilkenny","Petrol","Number","79"
"New Private Cars","2021 February","Kilkenny","Diesel","Number","113"
"New Private Cars","2021 February","Kilkenny","Other fuel types","Number",""
"New Private Cars","2021 February","Kilkenny","Petrol and electric hybrid","Number","37"
"New Private Cars","2021 February","Kilkenny","Electric","Number","9"
"New Private Cars","2021 February","Kilkenny","Petrol or Diesel plug-in hybrid electric","Number","8"
"New Private Cars","2021 February","Kilkenny","Diesel and electric hybrid","Number","15"
"New Private Cars","2021 February","Laois","All fuel types","Number","194"
"New Private Cars","2021 February","Laois","Petrol","Number","46"
"New Private Cars","2021 February","Laois","Diesel","Number","98"
"New Private Cars","2021 February","Laois","Other fuel types","Number",""
"New Private Cars","2021 February","Laois","Petrol and electric hybrid","Number","22"
"New Private Cars","2021 February","Laois","Electric","Number","10"
"New Private Cars","2021 February","Laois","Petrol or Diesel plug-in hybrid electric","Number","9"
"New Private Cars","2021 February","Laois","Diesel and electric hybrid","Number","9"
"New Private Cars","2021 February","Leitrim","All fuel types","Number","59"
"New Private Cars","2021 February","Leitrim","Petrol","Number","15"
"New Private Cars","2021 February","Leitrim","Diesel","Number","29"
"New Private Cars","2021 February","Leitrim","Other fuel types","Number",""
"New Private Cars","2021 February","Leitrim","Petrol and electric hybrid","Number","11"
"New Private Cars","2021 February","Leitrim","Electric","Number","3"
"New Private Cars","2021 February","Leitrim","Petrol or Diesel plug-in hybrid electric","Number",""
"New Private Cars","2021 February","Leitrim","Diesel and electric hybrid","Number","1"
"New Private Cars","2021 February","Longford","All fuel types","Number","78"
"New Private Cars","2021 February","Longford","Petrol","Number","15"
"New Private Cars","2021 February","Longford","Diesel","Number","39"
"New Private Cars","2021 February","Longford","Other fuel types","Number",""
"New Private Cars","2021 February","Longford","Petrol and electric hybrid","Number","20"
"New Private Cars","2021 February","Longford","Electric","Number","2"
"New Private Cars","2021 February","Longford","Petrol or Diesel plug-in hybrid electric","Number","1"
"New Private Cars","2021 February","Longford","Diesel and electric hybrid","Number","1"
"New Private Cars","2021 February","Louth","All fuel types","Number","306"
"New Private Cars","2021 February","Louth","Petrol","Number","107"
"New Private Cars","2021 February","Louth","Diesel","Number","117"
"New Private Cars","2021 February","Louth","Other fuel types","Number",""
"New Private Cars","2021 February","Louth","Petrol and electric hybrid","Number","53"
"New Private Cars","2021 February","Louth","Electric","Number","13"
"New Private Cars","2021 February","Louth","Petrol or Diesel plug-in hybrid electric","Number","9"
"New Private Cars","2021 February","Louth","Diesel and electric hybrid","Number","7"
"New Private Cars","2021 February","Mayo","All fuel types","Number","254"
"New Private Cars","2021 February","Mayo","Petrol","Number","64"
"New Private Cars","2021 February","Mayo","Diesel","Number","134"
"New Private Cars","2021 February","Mayo","Other fuel types","Number",""
"New Private Cars","2021 February","Mayo","Petrol and electric hybrid","Number","34"
"New Private Cars","2021 February","Mayo","Electric","Number","10"
"New Private Cars","2021 February","Mayo","Petrol or Diesel plug-in hybrid electric","Number","4"
"New Private Cars","2021 February","Mayo","Diesel and electric hybrid","Number","8"
"New Private Cars","2021 February","Meath","All fuel types","Number","441"
"New Private Cars","2021 February","Meath","Petrol","Number","114"
"New Private Cars","2021 February","Meath","Diesel","Number","179"
"New Private Cars","2021 February","Meath","Other fuel types","Number",""
"New Private Cars","2021 February","Meath","Petrol and electric hybrid","Number","97"
"New Private Cars","2021 February","Meath","Electric","Number","18"
"New Private Cars","2021 February","Meath","Petrol or Diesel plug-in hybrid electric","Number","24"
"New Private Cars","2021 February","Meath","Diesel and electric hybrid","Number","9"
"New Private Cars","2021 February","Monaghan","All fuel types","Number","152"
"New Private Cars","2021 February","Monaghan","Petrol","Number","26"
"New Private Cars","2021 February","Monaghan","Diesel","Number","90"
"New Private Cars","2021 February","Monaghan","Other fuel types","Number",""
"New Private Cars","2021 February","Monaghan","Petrol and electric hybrid","Number","27"
"New Private Cars","2021 February","Monaghan","Electric","Number","3"
"New Private Cars","2021 February","Monaghan","Petrol or Diesel plug-in hybrid electric","Number","6"
"New Private Cars","2021 February","Monaghan","Diesel and electric hybrid","Number",""
"New Private Cars","2021 February","Offaly","All fuel types","Number","161"
"New Private Cars","2021 February","Offaly","Petrol","Number","38"
"New Private Cars","2021 February","Offaly","Diesel","Number","84"
"New Private Cars","2021 February","Offaly","Other fuel types","Number",""
"New Private Cars","2021 February","Offaly","Petrol and electric hybrid","Number","26"
"New Private Cars","2021 February","Offaly","Electric","Number","2"
"New Private Cars","2021 February","Offaly","Petrol or Diesel plug-in hybrid electric","Number","4"
"New Private Cars","2021 February","Offaly","Diesel and electric hybrid","Number","7"
"New Private Cars","2021 February","Roscommon","All fuel types","Number","140"
"New Private Cars","2021 February","Roscommon","Petrol","Number","23"
"New Private Cars","2021 February","Roscommon","Diesel","Number","83"
"New Private Cars","2021 February","Roscommon","Other fuel types","Number",""
"New Private Cars","2021 February","Roscommon","Petrol and electric hybrid","Number","30"
"New Private Cars","2021 February","Roscommon","Electric","Number","1"
"New Private Cars","2021 February","Roscommon","Petrol or Diesel plug-in hybrid electric","Number","1"
"New Private Cars","2021 February","Roscommon","Diesel and electric hybrid","Number","2"
"New Private Cars","2021 February","Sligo","All fuel types","Number","168"
"New Private Cars","2021 February","Sligo","Petrol","Number","57"
"New Private Cars","2021 February","Sligo","Diesel","Number","68"
"New Private Cars","2021 February","Sligo","Other fuel types","Number",""
"New Private Cars","2021 February","Sligo","Petrol and electric hybrid","Number","22"
"New Private Cars","2021 February","Sligo","Electric","Number","9"
"New Private Cars","2021 February","Sligo","Petrol or Diesel plug-in hybrid electric","Number","10"
"New Private Cars","2021 February","Sligo","Diesel and electric hybrid","Number","2"
"New Private Cars","2021 February","Westmeath","All fuel types","Number","237"
"New Private Cars","2021 February","Westmeath","Petrol","Number","57"
"New Private Cars","2021 February","Westmeath","Diesel","Number","114"
"New Private Cars","2021 February","Westmeath","Other fuel types","Number",""
"New Private Cars","2021 February","Westmeath","Petrol and electric hybrid","Number","32"
"New Private Cars","2021 February","Westmeath","Electric","Number","16"
"New Private Cars","2021 February","Westmeath","Petrol or Diesel plug-in hybrid electric","Number","14"
"New Private Cars","2021 February","Westmeath","Diesel and electric hybrid","Number","4"
"New Private Cars","2021 February","Wexford","All fuel types","Number","336"
"New Private Cars","2021 February","Wexford","Petrol","Number","100"
"New Private Cars","2021 February","Wexford","Diesel","Number","140"
"New Private Cars","2021 February","Wexford","Other fuel types","Number",""
"New Private Cars","2021 February","Wexford","Petrol and electric hybrid","Number","54"
"New Private Cars","2021 February","Wexford","Electric","Number","18"
"New Private Cars","2021 February","Wexford","Petrol or Diesel plug-in hybrid electric","Number","17"
"New Private Cars","2021 February","Wexford","Diesel and electric hybrid","Number","7"
"New Private Cars","2021 February","Wicklow","All fuel types","Number","293"
"New Private Cars","2021 February","Wicklow","Petrol","Number","110"
"New Private Cars","2021 February","Wicklow","Diesel","Number","101"
"New Private Cars","2021 February","Wicklow","Other fuel types","Number",""
"New Private Cars","2021 February","Wicklow","Petrol and electric hybrid","Number","37"
"New Private Cars","2021 February","Wicklow","Electric","Number","23"
"New Private Cars","2021 February","Wicklow","Petrol or Diesel plug-in hybrid electric","Number","15"
"New Private Cars","2021 February","Wicklow","Diesel and electric hybrid","Number","7"
"New Private Cars","2021 February","Limerick","All fuel types","Number","460"
"New Private Cars","2021 February","Limerick","Petrol","Number","130"
"New Private Cars","2021 February","Limerick","Diesel","Number","199"
"New Private Cars","2021 February","Limerick","Other fuel types","Number",""
"New Private Cars","2021 February","Limerick","Petrol and electric hybrid","Number","73"
"New Private Cars","2021 February","Limerick","Electric","Number","20"
"New Private Cars","2021 February","Limerick","Petrol or Diesel plug-in hybrid electric","Number","28"
"New Private Cars","2021 February","Limerick","Diesel and electric hybrid","Number","10"
"New Private Cars","2021 February","Waterford","All fuel types","Number","328"
"New Private Cars","2021 February","Waterford","Petrol","Number","122"
"New Private Cars","2021 February","Waterford","Diesel","Number","125"
"New Private Cars","2021 February","Waterford","Other fuel types","Number",""
"New Private Cars","2021 February","Waterford","Petrol and electric hybrid","Number","46"
"New Private Cars","2021 February","Waterford","Electric","Number","6"
"New Private Cars","2021 February","Waterford","Petrol or Diesel plug-in hybrid electric","Number","24"
"New Private Cars","2021 February","Waterford","Diesel and electric hybrid","Number","5"
"New Private Cars","2021 February","Tipperary","All fuel types","Number","410"
"New Private Cars","2021 February","Tipperary","Petrol","Number","89"
"New Private Cars","2021 February","Tipperary","Diesel","Number","205"
"New Private Cars","2021 February","Tipperary","Other fuel types","Number",""
"New Private Cars","2021 February","Tipperary","Petrol and electric hybrid","Number","63"
"New Private Cars","2021 February","Tipperary","Electric","Number","15"
"New Private Cars","2021 February","Tipperary","Petrol or Diesel plug-in hybrid electric","Number","22"
"New Private Cars","2021 February","Tipperary","Diesel and electric hybrid","Number","16"
"New Private Cars","2021 February","Cork","All fuel types","Number","1455"
"New Private Cars","2021 February","Cork","Petrol","Number","477"
"New Private Cars","2021 February","Cork","Diesel","Number","503"
"New Private Cars","2021 February","Cork","Other fuel types","Number",""
"New Private Cars","2021 February","Cork","Petrol and electric hybrid","Number","296"
"New Private Cars","2021 February","Cork","Electric","Number","55"
"New Private Cars","2021 February","Cork","Petrol or Diesel plug-in hybrid electric","Number","96"
