"STATISTIC Label","Year","Taxation Class","Type of Fuel","UNIT","VALUE"
"New and Secondhand Vehicles","2010","All Goods Vehicles","Hybrid","Number","2"
"New and Secondhand Vehicles","2010","All Tractors","All fuel types","Number","3553"
"New and Secondhand Vehicles","2010","All Tractors","Petrol","Number","14"
"New and Secondhand Vehicles","2010","All Tractors","Diesel","Number","3539"
"New and Secondhand Vehicles","2010","All Tractors","Other fuel types","Number","0"
"New and Secondhand Vehicles","2010","All Tractors","Electric","Number","0"
"New and Secondhand Vehicles","2010","All Tractors","Hybrid","Number","0"
"New and Secondhand Vehicles","2010","All Motor Cycles","All fuel types","Number","4266"
"New and Secondhand Vehicles","2010","All Motor Cycles","Petrol","Number","4239"
"New and Secondhand Vehicles","2010","All Motor Cycles","Diesel","Number","4"
"New and Secondhand Vehicles","2010","All Motor Cycles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2010","All Motor Cycles","Electric","Number","23"
"New and Secondhand Vehicles","2010","All Motor Cycles","Hybrid","Number","0"
"New and Secondhand Vehicles","2010","All Other Vehicles","All fuel types","Number","9872"
"New and Secondhand Vehicles","2010","All Other Vehicles","Petrol","Number","3434"
"New and Secondhand Vehicles","2010","All Other Vehicles","Diesel","Number","6382"
"New and Secondhand Vehicles","2010","All Other Vehicles","Other fuel types","Number","9"
"New and Secondhand Vehicles","2010","All Other Vehicles","Electric","Number","7"
"New and Secondhand Vehicles","2010","All Other Vehicles","Hybrid","Number","40"
"New and Secondhand Vehicles","2011","New Private Cars","All fuel types","Number","86932"
"New and Secondhand Vehicles","2011","New Private Cars","Petrol","Number","23246"
"New and Secondhand Vehicles","2011","New Private Cars","Diesel","Number","61730"
"New and Secondhand Vehicles","2011","New Private Cars","Other fuel types","Number","1370"
"New and Secondhand Vehicles","2011","New Private Cars","Electric","Number","48"
"New and Secondhand Vehicles","2011","New Private Cars","Hybrid","Number","538"
"New and Secondhand Vehicles","2011","New Goods Vehicles","All fuel types","Number","11188"
"New and Secondhand Vehicles","2011","New Goods Vehicles","Petrol","Number","11"
"New and Secondhand Vehicles","2011","New Goods Vehicles","Diesel","Number","11157"
"New and Secondhand Vehicles","2011","New Goods Vehicles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2011","New Goods Vehicles","Electric","Number","18"
"New and Secondhand Vehicles","2011","New Goods Vehicles","Hybrid","Number","2"
"New and Secondhand Vehicles","2011","New Tractors","All fuel types","Number","1731"
"New and Secondhand Vehicles","2011","New Tractors","Petrol","Number","12"
"New and Secondhand Vehicles","2011","New Tractors","Diesel","Number","1719"
"New and Secondhand Vehicles","2011","New Tractors","Other fuel types","Number","0"
"New and Secondhand Vehicles","2011","New Tractors","Electric","Number","0"
"New and Secondhand Vehicles","2011","New Tractors","Hybrid","Number","0"
"New and Secondhand Vehicles","2011","New Motor Cycles","All fuel types","Number","1102"
"New and Secondhand Vehicles","2011","New Motor Cycles","Petrol","Number","1073"
"New and Secondhand Vehicles","2011","New Motor Cycles","Diesel","Number","1"
"New and Secondhand Vehicles","2011","New Motor Cycles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2011","New Motor Cycles","Electric","Number","28"
"New and Secondhand Vehicles","2011","New Motor Cycles","Hybrid","Number","0"
"New and Secondhand Vehicles","2011","New Other Vehicles","All fuel types","Number","4808"
"New and Secondhand Vehicles","2011","New Other Vehicles","Petrol","Number","839"
"New and Secondhand Vehicles","2011","New Other Vehicles","Diesel","Number","3936"
"New and Secondhand Vehicles","2011","New Other Vehicles","Other fuel types","Number","6"
"New and Secondhand Vehicles","2011","New Other Vehicles","Electric","Number","9"
"New and Secondhand Vehicles","2011","New Other Vehicles","Hybrid","Number","18"
"New and Secondhand Vehicles","2011","Secondhand Private Cars","All fuel types","Number","41149"
"New and Secondhand Vehicles","2011","Secondhand Private Cars","Petrol","Number","7756"
"New and Secondhand Vehicles","2011","Secondhand Private Cars","Diesel","Number","33188"
"New and Secondhand Vehicles","2011","Secondhand Private Cars","Other fuel types","Number","4"
"New and Secondhand Vehicles","2011","Secondhand Private Cars","Electric","Number","4"
"New and Secondhand Vehicles","2011","Secondhand Private Cars","Hybrid","Number","197"
"New and Secondhand Vehicles","2011","Secondhand Goods Vehicles","All fuel types","Number","5227"
"New and Secondhand Vehicles","2011","Secondhand Goods Vehicles","Petrol","Number","28"
"New and Secondhand Vehicles","2011","Secondhand Goods Vehicles","Diesel","Number","5197"
"New and Secondhand Vehicles","2011","Secondhand Goods Vehicles","Other fuel types","Number","2"
"New and Secondhand Vehicles","2011","Secondhand Goods Vehicles","Electric","Number","0"
"New and Secondhand Vehicles","2011","Secondhand Goods Vehicles","Hybrid","Number","0"
"New and Secondhand Vehicles","2011","Secondhand Tractors","All fuel types","Number","2537"
"New and Secondhand Vehicles","2011","Secondhand Tractors","Petrol","Number","1"
"New and Secondhand Vehicles","2011","Secondhand Tractors","Diesel","Number","2536"
"New and Secondhand Vehicles","2011","Secondhand Tractors","Other fuel types","Number","0"
"New and Secondhand Vehicles","2011","Secondhand Tractors","Electric","Number","0"
"New and Secondhand Vehicles","2011","Secondhand Tractors","Hybrid","Number","0"
"New and Secondhand Vehicles","2011","Secondhand Other Vehicles","All fuel types","Number","4031"
"New and Secondhand Vehicles","2011","Secondhand Other Vehicles","Petrol","Number","1576"
"New and Secondhand Vehicles","2011","Secondhand Other Vehicles","Diesel","Number","2442"
"New and Secondhand Vehicles","2011","Secondhand Other Vehicles","Other fuel types","Number","4"
"New and Secondhand Vehicles","2011","Secondhand Other Vehicles","Electric","Number","5"
"New and Secondhand Vehicles","2011","Secondhand Other Vehicles","Hybrid","Number","4"
"New and Secondhand Vehicles","2011","Secondhand Motor Cycles","All fuel types","Number","2072"
"New and Secondhand Vehicles","2011","Secondhand Motor Cycles","Petrol","Number","2065"
"New and Secondhand Vehicles","2011","Secondhand Motor Cycles","Diesel","Number","4"
"New and Secondhand Vehicles","2011","Secondhand Motor Cycles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2011","Secondhand Motor Cycles","Electric","Number","3"
"New and Secondhand Vehicles","2011","Secondhand Motor Cycles","Hybrid","Number","0"
"New and Secondhand Vehicles","2011","All Private Cars","All fuel types","Number","128081"
"New and Secondhand Vehicles","2011","All Private Cars","Petrol","Number","31002"
"New and Secondhand Vehicles","2011","All Private Cars","Diesel","Number","94918"
"New and Secondhand Vehicles","2011","All Private Cars","Other fuel types","Number","1374"
"New and Secondhand Vehicles","2011","All Private Cars","Electric","Number","52"
"New and Secondhand Vehicles","2011","All Private Cars","Hybrid","Number","735"
"New and Secondhand Vehicles","2011","All Goods Vehicles","All fuel types","Number","16415"
"New and Secondhand Vehicles","2011","All Goods Vehicles","Petrol","Number","39"
"New and Secondhand Vehicles","2011","All Goods Vehicles","Diesel","Number","16354"
"New and Secondhand Vehicles","2011","All Goods Vehicles","Other fuel types","Number","2"
"New and Secondhand Vehicles","2011","All Goods Vehicles","Electric","Number","18"
"New and Secondhand Vehicles","2011","All Goods Vehicles","Hybrid","Number","2"
"New and Secondhand Vehicles","2011","All Tractors","All fuel types","Number","4268"
"New and Secondhand Vehicles","2011","All Tractors","Petrol","Number","13"
"New and Secondhand Vehicles","2011","All Tractors","Diesel","Number","4255"
"New and Secondhand Vehicles","2011","All Tractors","Other fuel types","Number","0"
"New and Secondhand Vehicles","2011","All Tractors","Electric","Number","0"
"New and Secondhand Vehicles","2011","All Tractors","Hybrid","Number","0"
"New and Secondhand Vehicles","2011","All Motor Cycles","All fuel types","Number","3174"
"New and Secondhand Vehicles","2011","All Motor Cycles","Petrol","Number","3138"
"New and Secondhand Vehicles","2011","All Motor Cycles","Diesel","Number","5"
"New and Secondhand Vehicles","2011","All Motor Cycles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2011","All Motor Cycles","Electric","Number","31"
"New and Secondhand Vehicles","2011","All Motor Cycles","Hybrid","Number","0"
"New and Secondhand Vehicles","2011","All Other Vehicles","All fuel types","Number","8839"
"New and Secondhand Vehicles","2011","All Other Vehicles","Petrol","Number","2415"
"New and Secondhand Vehicles","2011","All Other Vehicles","Diesel","Number","6378"
"New and Secondhand Vehicles","2011","All Other Vehicles","Other fuel types","Number","10"
"New and Secondhand Vehicles","2011","All Other Vehicles","Electric","Number","14"
"New and Secondhand Vehicles","2011","All Other Vehicles","Hybrid","Number","22"
"New and Secondhand Vehicles","2012","New Private Cars","All fuel types","Number","76256"
"New and Secondhand Vehicles","2012","New Private Cars","Petrol","Number","17788"
"New and Secondhand Vehicles","2012","New Private Cars","Diesel","Number","56520"
"New and Secondhand Vehicles","2012","New Private Cars","Other fuel types","Number","1194"
"New and Secondhand Vehicles","2012","New Private Cars","Electric","Number","163"
"New and Secondhand Vehicles","2012","New Private Cars","Hybrid","Number","591"
"New and Secondhand Vehicles","2012","New Goods Vehicles","All fuel types","Number","10855"
"New and Secondhand Vehicles","2012","New Goods Vehicles","Petrol","Number","0"
"New and Secondhand Vehicles","2012","New Goods Vehicles","Diesel","Number","10817"
"New and Secondhand Vehicles","2012","New Goods Vehicles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2012","New Goods Vehicles","Electric","Number","32"
"New and Secondhand Vehicles","2012","New Goods Vehicles","Hybrid","Number","6"
"New and Secondhand Vehicles","2012","New Tractors","All fuel types","Number","1996"
"New and Secondhand Vehicles","2012","New Tractors","Petrol","Number","13"
"New and Secondhand Vehicles","2012","New Tractors","Diesel","Number","1983"
"New and Secondhand Vehicles","2012","New Tractors","Other fuel types","Number","0"
"New and Secondhand Vehicles","2012","New Tractors","Electric","Number","0"
"New and Secondhand Vehicles","2012","New Tractors","Hybrid","Number","0"
"New and Secondhand Vehicles","2012","New Motor Cycles","All fuel types","Number","955"
"New and Secondhand Vehicles","2012","New Motor Cycles","Petrol","Number","937"
"New and Secondhand Vehicles","2012","New Motor Cycles","Diesel","Number","1"
"New and Secondhand Vehicles","2012","New Motor Cycles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2012","New Motor Cycles","Electric","Number","17"
"New and Secondhand Vehicles","2012","New Motor Cycles","Hybrid","Number","0"
"New and Secondhand Vehicles","2012","New Other Vehicles","All fuel types","Number","5031"
"New and Secondhand Vehicles","2012","New Other Vehicles","Petrol","Number","779"
"New and Secondhand Vehicles","2012","New Other Vehicles","Diesel","Number","4204"
"New and Secondhand Vehicles","2012","New Other Vehicles","Other fuel types","Number","7"
"New and Secondhand Vehicles","2012","New Other Vehicles","Electric","Number","3"
"New and Secondhand Vehicles","2012","New Other Vehicles","Hybrid","Number","38"
"New and Secondhand Vehicles","2012","Secondhand Private Cars","All fuel types","Number","38469"
"New and Secondhand Vehicles","2012","Secondhand Private Cars","Petrol","Number","6100"
"New and Secondhand Vehicles","2012","Secondhand Private Cars","Diesel","Number","32148"
"New and Secondhand Vehicles","2012","Secondhand Private Cars","Other fuel types","Number","5"
"New and Secondhand Vehicles","2012","Secondhand Private Cars","Electric","Number","2"
"New and Secondhand Vehicles","2012","Secondhand Private Cars","Hybrid","Number","214"
"New and Secondhand Vehicles","2012","Secondhand Goods Vehicles","All fuel types","Number","4731"
"New and Secondhand Vehicles","2012","Secondhand Goods Vehicles","Petrol","Number","17"
"New and Secondhand Vehicles","2012","Secondhand Goods Vehicles","Diesel","Number","4712"
"New and Secondhand Vehicles","2012","Secondhand Goods Vehicles","Other fuel types","Number","1"
"New and Secondhand Vehicles","2012","Secondhand Goods Vehicles","Electric","Number","1"
"New and Secondhand Vehicles","2012","Secondhand Goods Vehicles","Hybrid","Number","0"
"New and Secondhand Vehicles","2012","Secondhand Tractors","All fuel types","Number","1781"
