"STATISTIC Label","Year","Taxation Class","Type of Fuel","UNIT","VALUE"
"New and Secondhand Vehicles","2013","All Other Vehicles","Other fuel types","Number","3"
"New and Secondhand Vehicles","2013","All Other Vehicles","Electric","Number","2"
"New and Secondhand Vehicles","2013","All Other Vehicles","Hybrid","Number","82"
"New and Secondhand Vehicles","2014","New Private Cars","All fuel types","Number","92361"
"New and Secondhand Vehicles","2014","New Private Cars","Petrol","Number","23417"
"New and Secondhand Vehicles","2014","New Private Cars","Diesel","Number","67740"
"New and Secondhand Vehicles","2014","New Private Cars","Other fuel types","Number","28"
"New and Secondhand Vehicles","2014","New Private Cars","Electric","Number","222"
"New and Secondhand Vehicles","2014","New Private Cars","Hybrid","Number","954"
"New and Secondhand Vehicles","2014","New Goods Vehicles","All fuel types","Number","16254"
"New and Secondhand Vehicles","2014","New Goods Vehicles","Petrol","Number","2"
"New and Secondhand Vehicles","2014","New Goods Vehicles","Diesel","Number","16241"
"New and Secondhand Vehicles","2014","New Goods Vehicles","Other fuel types","Number","3"
"New and Secondhand Vehicles","2014","New Goods Vehicles","Electric","Number","8"
"New and Secondhand Vehicles","2014","New Goods Vehicles","Hybrid","Number","0"
"New and Secondhand Vehicles","2014","New Tractors","All fuel types","Number","2186"
"New and Secondhand Vehicles","2014","New Tractors","Petrol","Number","3"
"New and Secondhand Vehicles","2014","New Tractors","Diesel","Number","2183"
"New and Secondhand Vehicles","2014","New Tractors","Other fuel types","Number","0"
"New and Secondhand Vehicles","2014","New Tractors","Electric","Number","0"
"New and Secondhand Vehicles","2014","New Tractors","Hybrid","Number","0"
"New and Secondhand Vehicles","2014","New Motor Cycles","All fuel types","Number","960"
"New and Secondhand Vehicles","2014","New Motor Cycles","Petrol","Number","953"
"New and Secondhand Vehicles","2014","New Motor Cycles","Diesel","Number","1"
"New and Secondhand Vehicles","2014","New Motor Cycles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2014","New Motor Cycles","Electric","Number","6"
"New and Secondhand Vehicles","2014","New Motor Cycles","Hybrid","Number","0"
"New and Secondhand Vehicles","2014","New Other Vehicles","All fuel types","Number","5891"
"New and Secondhand Vehicles","2014","New Other Vehicles","Petrol","Number","787"
"New and Secondhand Vehicles","2014","New Other Vehicles","Diesel","Number","5060"
"New and Secondhand Vehicles","2014","New Other Vehicles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2014","New Other Vehicles","Electric","Number","2"
"New and Secondhand Vehicles","2014","New Other Vehicles","Hybrid","Number","42"
"New and Secondhand Vehicles","2014","Secondhand Private Cars","All fuel types","Number","52863"
"New and Secondhand Vehicles","2014","Secondhand Private Cars","Petrol","Number","8681"
"New and Secondhand Vehicles","2014","Secondhand Private Cars","Diesel","Number","43722"
"New and Secondhand Vehicles","2014","Secondhand Private Cars","Other fuel types","Number","7"
"New and Secondhand Vehicles","2014","Secondhand Private Cars","Electric","Number","51"
"New and Secondhand Vehicles","2014","Secondhand Private Cars","Hybrid","Number","402"
"New and Secondhand Vehicles","2014","Secondhand Goods Vehicles","All fuel types","Number","9074"
"New and Secondhand Vehicles","2014","Secondhand Goods Vehicles","Petrol","Number","27"
"New and Secondhand Vehicles","2014","Secondhand Goods Vehicles","Diesel","Number","9042"
"New and Secondhand Vehicles","2014","Secondhand Goods Vehicles","Other fuel types","Number","5"
"New and Secondhand Vehicles","2014","Secondhand Goods Vehicles","Electric","Number","0"
"New and Secondhand Vehicles","2014","Secondhand Goods Vehicles","Hybrid","Number","0"
"New and Secondhand Vehicles","2014","Secondhand Tractors","All fuel types","Number","2357"
"New and Secondhand Vehicles","2014","Secondhand Tractors","Petrol","Number","4"
"New and Secondhand Vehicles","2014","Secondhand Tractors","Diesel","Number","2353"
"New and Secondhand Vehicles","2014","Secondhand Tractors","Other fuel types","Number","0"
"New and Secondhand Vehicles","2014","Secondhand Tractors","Electric","Number","0"
"New and Secondhand Vehicles","2014","Secondhand Tractors","Hybrid","Number","0"
"New and Secondhand Vehicles","2014","Secondhand Other Vehicles","All fuel types","Number","4319"
"New and Secondhand Vehicles","2014","Secondhand Other Vehicles","Petrol","Number","1232"
"New and Secondhand Vehicles","2014","Secondhand Other Vehicles","Diesel","Number","3037"
"New and Secondhand Vehicles","2014","Secondhand Other Vehicles","Other fuel types","Number","1"
"New and Secondhand Vehicles","2014","Secondhand Other Vehicles","Electric","Number","0"
"New and Secondhand Vehicles","2014","Secondhand Other Vehicles","Hybrid","Number","49"
"New and Secondhand Vehicles","2014","Secondhand Motor Cycles","All fuel types","Number","1655"
"New and Secondhand Vehicles","2014","Secondhand Motor Cycles","Petrol","Number","1653"
"New and Secondhand Vehicles","2014","Secondhand Motor Cycles","Diesel","Number","2"
"New and Secondhand Vehicles","2014","Secondhand Motor Cycles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2014","Secondhand Motor Cycles","Electric","Number","0"
"New and Secondhand Vehicles","2014","Secondhand Motor Cycles","Hybrid","Number","0"
"New and Secondhand Vehicles","2014","All Private Cars","All fuel types","Number","145224"
"New and Secondhand Vehicles","2014","All Private Cars","Petrol","Number","32098"
"New and Secondhand Vehicles","2014","All Private Cars","Diesel","Number","111462"
"New and Secondhand Vehicles","2014","All Private Cars","Other fuel types","Number","35"
"New and Secondhand Vehicles","2014","All Private Cars","Electric","Number","273"
"New and Secondhand Vehicles","2014","All Private Cars","Hybrid","Number","1356"
"New and Secondhand Vehicles","2014","All Goods Vehicles","All fuel types","Number","25328"
"New and Secondhand Vehicles","2014","All Goods Vehicles","Petrol","Number","29"
"New and Secondhand Vehicles","2014","All Goods Vehicles","Diesel","Number","25283"
"New and Secondhand Vehicles","2014","All Goods Vehicles","Other fuel types","Number","8"
"New and Secondhand Vehicles","2014","All Goods Vehicles","Electric","Number","8"
"New and Secondhand Vehicles","2014","All Goods Vehicles","Hybrid","Number","0"
"New and Secondhand Vehicles","2014","All Tractors","All fuel types","Number","4543"
"New and Secondhand Vehicles","2014","All Tractors","Petrol","Number","7"
"New and Secondhand Vehicles","2014","All Tractors","Diesel","Number","4536"
"New and Secondhand Vehicles","2014","All Tractors","Other fuel types","Number","0"
"New and Secondhand Vehicles","2014","All Tractors","Electric","Number","0"
"New and Secondhand Vehicles","2014","All Tractors","Hybrid","Number","0"
"New and Secondhand Vehicles","2014","All Motor Cycles","All fuel types","Number","2615"
"New and Secondhand Vehicles","2014","All Motor Cycles","Petrol","Number","2606"
"New and Secondhand Vehicles","2014","All Motor Cycles","Diesel","Number","3"
"New and Secondhand Vehicles","2014","All Motor Cycles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2014","All Motor Cycles","Electric","Number","6"
"New and Secondhand Vehicles","2014","All Motor Cycles","Hybrid","Number","0"
"New and Secondhand Vehicles","2014","All Other Vehicles","All fuel types","Number","10210"
"New and Secondhand Vehicles","2014","All Other Vehicles","Petrol","Number","2019"
"New and Secondhand Vehicles","2014","All Other Vehicles","Diesel","Number","8097"
"New and Secondhand Vehicles","2014","All Other Vehicles","Other fuel types","Number","1"
"New and Secondhand Vehicles","2014","All Other Vehicles","Electric","Number","2"
"New and Secondhand Vehicles","2014","All Other Vehicles","Hybrid","Number","91"
"New and Secondhand Vehicles","2015","New Private Cars","All fuel types","Number","121110"
"New and Secondhand Vehicles","2015","New Private Cars","Petrol","Number","32963"
"New and Secondhand Vehicles","2015","New Private Cars","Diesel","Number","86103"
"New and Secondhand Vehicles","2015","New Private Cars","Other fuel types","Number","6"
"New and Secondhand Vehicles","2015","New Private Cars","Electric","Number","476"
"New and Secondhand Vehicles","2015","New Private Cars","Hybrid","Number","1562"
"New and Secondhand Vehicles","2015","New Goods Vehicles","All fuel types","Number","22939"
"New and Secondhand Vehicles","2015","New Goods Vehicles","Petrol","Number","2"
"New and Secondhand Vehicles","2015","New Goods Vehicles","Diesel","Number","22924"
"New and Secondhand Vehicles","2015","New Goods Vehicles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2015","New Goods Vehicles","Electric","Number","12"
"New and Secondhand Vehicles","2015","New Goods Vehicles","Hybrid","Number","1"
"New and Secondhand Vehicles","2015","New Tractors","All fuel types","Number","1986"
"New and Secondhand Vehicles","2015","New Tractors","Petrol","Number","2"
"New and Secondhand Vehicles","2015","New Tractors","Diesel","Number","1984"
"New and Secondhand Vehicles","2015","New Tractors","Other fuel types","Number","0"
"New and Secondhand Vehicles","2015","New Tractors","Electric","Number","0"
"New and Secondhand Vehicles","2015","New Tractors","Hybrid","Number","0"
"New and Secondhand Vehicles","2015","New Motor Cycles","All fuel types","Number","1244"
"New and Secondhand Vehicles","2015","New Motor Cycles","Petrol","Number","1237"
"New and Secondhand Vehicles","2015","New Motor Cycles","Diesel","Number","2"
"New and Secondhand Vehicles","2015","New Motor Cycles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2015","New Motor Cycles","Electric","Number","5"
"New and Secondhand Vehicles","2015","New Motor Cycles","Hybrid","Number","0"
"New and Secondhand Vehicles","2015","New Other Vehicles","All fuel types","Number","6571"
"New and Secondhand Vehicles","2015","New Other Vehicles","Petrol","Number","906"
"New and Secondhand Vehicles","2015","New Other Vehicles","Diesel","Number","5610"
"New and Secondhand Vehicles","2015","New Other Vehicles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2015","New Other Vehicles","Electric","Number","4"
"New and Secondhand Vehicles","2015","New Other Vehicles","Hybrid","Number","51"
"New and Secondhand Vehicles","2015","Secondhand Private Cars","All fuel types","Number","47217"
"New and Secondhand Vehicles","2015","Secondhand Private Cars","Petrol","Number","8796"
"New and Secondhand Vehicles","2015","Secondhand Private Cars","Diesel","Number","37846"
"New and Secondhand Vehicles","2015","Secondhand Private Cars","Other fuel types","Number","2"
"New and Secondhand Vehicles","2015","Secondhand Private Cars","Electric","Number","95"
"New and Secondhand Vehicles","2015","Secondhand Private Cars","Hybrid","Number","478"
"New and Secondhand Vehicles","2015","Secondhand Goods Vehicles","All fuel types","Number","8352"
"New and Secondhand Vehicles","2015","Secondhand Goods Vehicles","Petrol","Number","24"
"New and Secondhand Vehicles","2015","Secondhand Goods Vehicles","Diesel","Number","8326"
"New and Secondhand Vehicles","2015","Secondhand Goods Vehicles","Other fuel types","Number","2"
"New and Secondhand Vehicles","2015","Secondhand Goods Vehicles","Electric","Number","0"
"New and Secondhand Vehicles","2015","Secondhand Goods Vehicles","Hybrid","Number","0"
"New and Secondhand Vehicles","2015","Secondhand Tractors","All fuel types","Number","1787"
"New and Secondhand Vehicles","2015","Secondhand Tractors","Petrol","Number","7"
"New and Secondhand Vehicles","2015","Secondhand Tractors","Diesel","Number","1780"
"New and Secondhand Vehicles","2015","Secondhand Tractors","Other fuel types","Number","0"
"New and Secondhand Vehicles","2015","Secondhand Tractors","Electric","Number","0"
"New and Secondhand Vehicles","2015","Secondhand Tractors","Hybrid","Number","0"
"New and Secondhand Vehicles","2015","Secondhand Other Vehicles","All fuel types","Number","3731"
"New and Secondhand Vehicles","2015","Secondhand Other Vehicles","Petrol","Number","1186"
"New and Secondhand Vehicles","2015","Secondhand Other Vehicles","Diesel","Number","2485"
"New and Secondhand Vehicles","2015","Secondhand Other Vehicles","Other fuel types","Number","1"
"New and Secondhand Vehicles","2015","Secondhand Other Vehicles","Electric","Number","0"
"New and Secondhand Vehicles","2015","Secondhand Other Vehicles","Hybrid","Number","59"
"New and Secondhand Vehicles","2015","Secondhand Motor Cycles","All fuel types","Number","1586"
"New and Secondhand Vehicles","2015","Secondhand Motor Cycles","Petrol","Number","1582"
"New and Secondhand Vehicles","2015","Secondhand Motor Cycles","Diesel","Number","2"
"New and Secondhand Vehicles","2015","Secondhand Motor Cycles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2015","Secondhand Motor Cycles","Electric","Number","2"
"New and Secondhand Vehicles","2015","Secondhand Motor Cycles","Hybrid","Number","0"
"New and Secondhand Vehicles","2015","All Private Cars","All fuel types","Number","168327"
"New and Secondhand Vehicles","2015","All Private Cars","Petrol","Number","41759"
"New and Secondhand Vehicles","2015","All Private Cars","Diesel","Number","123949"
"New and Secondhand Vehicles","2015","All Private Cars","Other fuel types","Number","8"
"New and Secondhand Vehicles","2015","All Private Cars","Electric","Number","571"
"New and Secondhand Vehicles","2015","All Private Cars","Hybrid","Number","2040"
"New and Secondhand Vehicles","2015","All Goods Vehicles","All fuel types","Number","31291"
"New and Secondhand Vehicles","2015","All Goods Vehicles","Petrol","Number","26"
"New and Secondhand Vehicles","2015","All Goods Vehicles","Diesel","Number","31250"
"New and Secondhand Vehicles","2015","All Goods Vehicles","Other fuel types","Number","2"
"New and Secondhand Vehicles","2015","All Goods Vehicles","Electric","Number","12"
"New and Secondhand Vehicles","2015","All Goods Vehicles","Hybrid","Number","1"
"New and Secondhand Vehicles","2015","All Tractors","All fuel types","Number","3773"
"New and Secondhand Vehicles","2015","All Tractors","Petrol","Number","9"
"New and Secondhand Vehicles","2015","All Tractors","Diesel","Number","3764"
"New and Secondhand Vehicles","2015","All Tractors","Other fuel types","Number","0"
"New and Secondhand Vehicles","2015","All Tractors","Electric","Number","0"
"New and Secondhand Vehicles","2015","All Tractors","Hybrid","Number","0"
"New and Secondhand Vehicles","2015","All Motor Cycles","All fuel types","Number","2830"
"New and Secondhand Vehicles","2015","All Motor Cycles","Petrol","Number","2819"
"New and Secondhand Vehicles","2015","All Motor Cycles","Diesel","Number","4"
"New and Secondhand Vehicles","2015","All Motor Cycles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2015","All Motor Cycles","Electric","Number","7"
"New and Secondhand Vehicles","2015","All Motor Cycles","Hybrid","Number","0"
"New and Secondhand Vehicles","2015","All Other Vehicles","All fuel types","Number","10302"
"New and Secondhand Vehicles","2015","All Other Vehicles","Petrol","Number","2092"
"New and Secondhand Vehicles","2015","All Other Vehicles","Diesel","Number","8095"
"New and Secondhand Vehicles","2015","All Other Vehicles","Other fuel types","Number","1"
"New and Secondhand Vehicles","2015","All Other Vehicles","Electric","Number","4"
"New and Secondhand Vehicles","2015","All Other Vehicles","Hybrid","Number","110"
"New and Secondhand Vehicles","2016","New Private Cars","All fuel types","Number","141931"
"New and Secondhand Vehicles","2016","New Private Cars","Petrol","Number","39472"
"New and Secondhand Vehicles","2016","New Private Cars","Diesel","Number","99306"
"New and Secondhand Vehicles","2016","New Private Cars","Other fuel types","Number","0"
"New and Secondhand Vehicles","2016","New Private Cars","Electric","Number","392"
"New and Secondhand Vehicles","2016","New Private Cars","Hybrid","Number","2761"
"New and Secondhand Vehicles","2016","New Goods Vehicles","All fuel types","Number","28051"
"New and Secondhand Vehicles","2016","New Goods Vehicles","Petrol","Number","4"
"New and Secondhand Vehicles","2016","New Goods Vehicles","Diesel","Number","28035"
"New and Secondhand Vehicles","2016","New Goods Vehicles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2016","New Goods Vehicles","Electric","Number","10"
"New and Secondhand Vehicles","2016","New Goods Vehicles","Hybrid","Number","2"
"New and Secondhand Vehicles","2016","New Tractors","All fuel types","Number","1934"
"New and Secondhand Vehicles","2016","New Tractors","Petrol","Number","7"
"New and Secondhand Vehicles","2016","New Tractors","Diesel","Number","1927"
"New and Secondhand Vehicles","2016","New Tractors","Other fuel types","Number","0"
"New and Secondhand Vehicles","2016","New Tractors","Electric","Number","0"
"New and Secondhand Vehicles","2016","New Tractors","Hybrid","Number","0"
"New and Secondhand Vehicles","2016","New Motor Cycles","All fuel types","Number","1546"
"New and Secondhand Vehicles","2016","New Motor Cycles","Petrol","Number","1539"
"New and Secondhand Vehicles","2016","New Motor Cycles","Diesel","Number","1"
"New and Secondhand Vehicles","2016","New Motor Cycles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2016","New Motor Cycles","Electric","Number","5"
"New and Secondhand Vehicles","2016","New Motor Cycles","Hybrid","Number","1"
"New and Secondhand Vehicles","2016","New Other Vehicles","All fuel types","Number","7831"
"New and Secondhand Vehicles","2016","New Other Vehicles","Petrol","Number","1106"
"New and Secondhand Vehicles","2016","New Other Vehicles","Diesel","Number","6623"
"New and Secondhand Vehicles","2016","New Other Vehicles","Other fuel types","Number","1"
"New and Secondhand Vehicles","2016","New Other Vehicles","Electric","Number","4"
"New and Secondhand Vehicles","2016","New Other Vehicles","Hybrid","Number","97"
"New and Secondhand Vehicles","2016","Secondhand Private Cars","All fuel types","Number","70138"
"New and Secondhand Vehicles","2016","Secondhand Private Cars","Petrol","Number","12615"
"New and Secondhand Vehicles","2016","Secondhand Private Cars","Diesel","Number","55900"
"New and Secondhand Vehicles","2016","Secondhand Private Cars","Other fuel types","Number","8"
"New and Secondhand Vehicles","2016","Secondhand Private Cars","Electric","Number","216"
"New and Secondhand Vehicles","2016","Secondhand Private Cars","Hybrid","Number","1399"
"New and Secondhand Vehicles","2016","Secondhand Goods Vehicles","All fuel types","Number","10925"
"New and Secondhand Vehicles","2016","Secondhand Goods Vehicles","Petrol","Number","33"
"New and Secondhand Vehicles","2016","Secondhand Goods Vehicles","Diesel","Number","10888"
"New and Secondhand Vehicles","2016","Secondhand Goods Vehicles","Other fuel types","Number","2"
"New and Secondhand Vehicles","2016","Secondhand Goods Vehicles","Electric","Number","1"
"New and Secondhand Vehicles","2016","Secondhand Goods Vehicles","Hybrid","Number","1"
"New and Secondhand Vehicles","2016","Secondhand Tractors","All fuel types","Number","1908"
"New and Secondhand Vehicles","2016","Secondhand Tractors","Petrol","Number","7"
"New and Secondhand Vehicles","2016","Secondhand Tractors","Diesel","Number","1901"
"New and Secondhand Vehicles","2016","Secondhand Tractors","Other fuel types","Number","0"
"New and Secondhand Vehicles","2016","Secondhand Tractors","Electric","Number","0"
"New and Secondhand Vehicles","2016","Secondhand Tractors","Hybrid","Number","0"
"New and Secondhand Vehicles","2016","Secondhand Other Vehicles","All fuel types","Number","4428"
"New and Secondhand Vehicles","2016","Secondhand Other Vehicles","Petrol","Number","1169"
"New and Secondhand Vehicles","2016","Secondhand Other Vehicles","Diesel","Number","3164"
"New and Secondhand Vehicles","2016","Secondhand Other Vehicles","Other fuel types","Number","3"
"New and Secondhand Vehicles","2016","Secondhand Other Vehicles","Electric","Number","3"
"New and Secondhand Vehicles","2016","Secondhand Other Vehicles","Hybrid","Number","89"
"New and Secondhand Vehicles","2016","Secondhand Motor Cycles","All fuel types","Number","2204"
"New and Secondhand Vehicles","2016","Secondhand Motor Cycles","Petrol","Number","2200"
"New and Secondhand Vehicles","2016","Secondhand Motor Cycles","Diesel","Number","4"
"New and Secondhand Vehicles","2016","Secondhand Motor Cycles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2016","Secondhand Motor Cycles","Electric","Number","0"
"New and Secondhand Vehicles","2016","Secondhand Motor Cycles","Hybrid","Number","0"
"New and Secondhand Vehicles","2016","All Private Cars","All fuel types","Number","212069"
"New and Secondhand Vehicles","2016","All Private Cars","Petrol","Number","52087"
"New and Secondhand Vehicles","2016","All Private Cars","Diesel","Number","155206"
"New and Secondhand Vehicles","2016","All Private Cars","Other fuel types","Number","8"
"New and Secondhand Vehicles","2016","All Private Cars","Electric","Number","608"
"New and Secondhand Vehicles","2016","All Private Cars","Hybrid","Number","4160"
"New and Secondhand Vehicles","2016","All Goods Vehicles","All fuel types","Number","38976"
"New and Secondhand Vehicles","2016","All Goods Vehicles","Petrol","Number","37"
"New and Secondhand Vehicles","2016","All Goods Vehicles","Diesel","Number","38923"
"New and Secondhand Vehicles","2016","All Goods Vehicles","Other fuel types","Number","2"
"New and Secondhand Vehicles","2016","All Goods Vehicles","Electric","Number","11"
"New and Secondhand Vehicles","2016","All Goods Vehicles","Hybrid","Number","3"
"New and Secondhand Vehicles","2016","All Tractors","All fuel types","Number","3842"
"New and Secondhand Vehicles","2016","All Tractors","Petrol","Number","14"
"New and Secondhand Vehicles","2016","All Tractors","Diesel","Number","3828"
"New and Secondhand Vehicles","2016","All Tractors","Other fuel types","Number","0"
"New and Secondhand Vehicles","2016","All Tractors","Electric","Number","0"
"New and Secondhand Vehicles","2016","All Tractors","Hybrid","Number","0"
"New and Secondhand Vehicles","2016","All Motor Cycles","All fuel types","Number","3750"
"New and Secondhand Vehicles","2016","All Motor Cycles","Petrol","Number","3739"
"New and Secondhand Vehicles","2016","All Motor Cycles","Diesel","Number","5"
"New and Secondhand Vehicles","2016","All Motor Cycles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2016","All Motor Cycles","Electric","Number","5"
"New and Secondhand Vehicles","2016","All Motor Cycles","Hybrid","Number","1"
"New and Secondhand Vehicles","2016","All Other Vehicles","All fuel types","Number","12259"
"New and Secondhand Vehicles","2016","All Other Vehicles","Petrol","Number","2275"
"New and Secondhand Vehicles","2016","All Other Vehicles","Diesel","Number","9787"
"New and Secondhand Vehicles","2016","All Other Vehicles","Other fuel types","Number","4"
"New and Secondhand Vehicles","2016","All Other Vehicles","Electric","Number","7"
"New and Secondhand Vehicles","2016","All Other Vehicles","Hybrid","Number","186"
"New and Secondhand Vehicles","2017","New Private Cars","All fuel types","Number","127045"
"New and Secondhand Vehicles","2017","New Private Cars","Petrol","Number","39391"
"New and Secondhand Vehicles","2017","New Private Cars","Diesel","Number","82492"
"New and Secondhand Vehicles","2017","New Private Cars","Other fuel types","Number","0"
"New and Secondhand Vehicles","2017","New Private Cars","Electric","Number","623"
"New and Secondhand Vehicles","2017","New Private Cars","Hybrid","Number","4539"
"New and Secondhand Vehicles","2017","New Goods Vehicles","All fuel types","Number","24101"
"New and Secondhand Vehicles","2017","New Goods Vehicles","Petrol","Number","11"
"New and Secondhand Vehicles","2017","New Goods Vehicles","Diesel","Number","24055"
"New and Secondhand Vehicles","2017","New Goods Vehicles","Other fuel types","Number","2"
"New and Secondhand Vehicles","2017","New Goods Vehicles","Electric","Number","32"
"New and Secondhand Vehicles","2017","New Goods Vehicles","Hybrid","Number","1"
"New and Secondhand Vehicles","2017","New Tractors","All fuel types","Number","1810"
"New and Secondhand Vehicles","2017","New Tractors","Petrol","Number","10"
"New and Secondhand Vehicles","2017","New Tractors","Diesel","Number","1800"
"New and Secondhand Vehicles","2017","New Tractors","Other fuel types","Number","0"
"New and Secondhand Vehicles","2017","New Tractors","Electric","Number","0"
"New and Secondhand Vehicles","2017","New Tractors","Hybrid","Number","0"
"New and Secondhand Vehicles","2017","New Motor Cycles","All fuel types","Number","1431"
"New and Secondhand Vehicles","2017","New Motor Cycles","Petrol","Number","1413"
"New and Secondhand Vehicles","2017","New Motor Cycles","Diesel","Number","2"
"New and Secondhand Vehicles","2017","New Motor Cycles","Other fuel types","Number","1"
"New and Secondhand Vehicles","2017","New Motor Cycles","Electric","Number","4"
"New and Secondhand Vehicles","2017","New Motor Cycles","Hybrid","Number","11"
"New and Secondhand Vehicles","2017","New Other Vehicles","All fuel types","Number","7453"
"New and Secondhand Vehicles","2017","New Other Vehicles","Petrol","Number","1139"
"New and Secondhand Vehicles","2017","New Other Vehicles","Diesel","Number","6112"
"New and Secondhand Vehicles","2017","New Other Vehicles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2017","New Other Vehicles","Electric","Number","5"
"New and Secondhand Vehicles","2017","New Other Vehicles","Hybrid","Number","197"
"New and Secondhand Vehicles","2017","Secondhand Private Cars","All fuel types","Number","92508"
"New and Secondhand Vehicles","2017","Secondhand Private Cars","Petrol","Number","16464"
"New and Secondhand Vehicles","2017","Secondhand Private Cars","Diesel","Number","72720"
"New and Secondhand Vehicles","2017","Secondhand Private Cars","Other fuel types","Number","2"
"New and Secondhand Vehicles","2017","Secondhand Private Cars","Electric","Number","469"
"New and Secondhand Vehicles","2017","Secondhand Private Cars","Hybrid","Number","2853"
"New and Secondhand Vehicles","2017","Secondhand Goods Vehicles","All fuel types","Number","14168"
"New and Secondhand Vehicles","2017","Secondhand Goods Vehicles","Petrol","Number","28"
"New and Secondhand Vehicles","2017","Secondhand Goods Vehicles","Diesel","Number","14134"
"New and Secondhand Vehicles","2017","Secondhand Goods Vehicles","Other fuel types","Number","3"
"New and Secondhand Vehicles","2017","Secondhand Goods Vehicles","Electric","Number","2"
"New and Secondhand Vehicles","2017","Secondhand Goods Vehicles","Hybrid","Number","1"
"New and Secondhand Vehicles","2017","Secondhand Tractors","All fuel types","Number","2453"
"New and Secondhand Vehicles","2017","Secondhand Tractors","Petrol","Number","8"
"New and Secondhand Vehicles","2017","Secondhand Tractors","Diesel","Number","2445"
"New and Secondhand Vehicles","2017","Secondhand Tractors","Other fuel types","Number","0"
"New and Secondhand Vehicles","2017","Secondhand Tractors","Electric","Number","0"
"New and Secondhand Vehicles","2017","Secondhand Tractors","Hybrid","Number","0"
"New and Secondhand Vehicles","2017","Secondhand Other Vehicles","All fuel types","Number","5702"
"New and Secondhand Vehicles","2017","Secondhand Other Vehicles","Petrol","Number","1492"
"New and Secondhand Vehicles","2017","Secondhand Other Vehicles","Diesel","Number","4006"
"New and Secondhand Vehicles","2017","Secondhand Other Vehicles","Other fuel types","Number","3"
"New and Secondhand Vehicles","2017","Secondhand Other Vehicles","Electric","Number","3"
"New and Secondhand Vehicles","2017","Secondhand Other Vehicles","Hybrid","Number","198"
"New and Secondhand Vehicles","2017","Secondhand Motor Cycles","All fuel types","Number","3187"
"New and Secondhand Vehicles","2017","Secondhand Motor Cycles","Petrol","Number","3175"
"New and Secondhand Vehicles","2017","Secondhand Motor Cycles","Diesel","Number","8"
"New and Secondhand Vehicles","2017","Secondhand Motor Cycles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2017","Secondhand Motor Cycles","Electric","Number","4"
"New and Secondhand Vehicles","2017","Secondhand Motor Cycles","Hybrid","Number","0"
"New and Secondhand Vehicles","2017","All Private Cars","All fuel types","Number","219553"
"New and Secondhand Vehicles","2017","All Private Cars","Petrol","Number","55855"
"New and Secondhand Vehicles","2017","All Private Cars","Diesel","Number","155212"
"New and Secondhand Vehicles","2017","All Private Cars","Other fuel types","Number","2"
"New and Secondhand Vehicles","2017","All Private Cars","Electric","Number","1092"
"New and Secondhand Vehicles","2017","All Private Cars","Hybrid","Number","7392"
"New and Secondhand Vehicles","2017","All Goods Vehicles","All fuel types","Number","38269"
"New and Secondhand Vehicles","2017","All Goods Vehicles","Petrol","Number","39"
"New and Secondhand Vehicles","2017","All Goods Vehicles","Diesel","Number","38189"
"New and Secondhand Vehicles","2017","All Goods Vehicles","Other fuel types","Number","5"
"New and Secondhand Vehicles","2017","All Goods Vehicles","Electric","Number","34"
"New and Secondhand Vehicles","2017","All Goods Vehicles","Hybrid","Number","2"
"New and Secondhand Vehicles","2017","All Tractors","All fuel types","Number","4263"
"New and Secondhand Vehicles","2017","All Tractors","Petrol","Number","18"
"New and Secondhand Vehicles","2017","All Tractors","Diesel","Number","4245"
"New and Secondhand Vehicles","2017","All Tractors","Other fuel types","Number","0"
"New and Secondhand Vehicles","2017","All Tractors","Electric","Number","0"
"New and Secondhand Vehicles","2017","All Tractors","Hybrid","Number","0"
"New and Secondhand Vehicles","2017","All Motor Cycles","All fuel types","Number","4618"
"New and Secondhand Vehicles","2017","All Motor Cycles","Petrol","Number","4588"
"New and Secondhand Vehicles","2017","All Motor Cycles","Diesel","Number","10"
"New and Secondhand Vehicles","2017","All Motor Cycles","Other fuel types","Number","1"
"New and Secondhand Vehicles","2017","All Motor Cycles","Electric","Number","8"
"New and Secondhand Vehicles","2017","All Motor Cycles","Hybrid","Number","11"
"New and Secondhand Vehicles","2017","All Other Vehicles","All fuel types","Number","13155"
"New and Secondhand Vehicles","2017","All Other Vehicles","Petrol","Number","2631"
"New and Secondhand Vehicles","2017","All Other Vehicles","Diesel","Number","10118"
"New and Secondhand Vehicles","2017","All Other Vehicles","Other fuel types","Number","3"
"New and Secondhand Vehicles","2017","All Other Vehicles","Electric","Number","8"
"New and Secondhand Vehicles","2017","All Other Vehicles","Hybrid","Number","395"
